,o_0_lb,o_0_ub,o_1_lb,o_1_ub,o_2_lb,o_2_ub,o_3_lb,o_3_ub,o_4_lb,o_4_ub,o_5_lb,o_5_ub,o_6_lb,o_6_ub,o_7_lb,o_7_ub,o_8_lb,o_8_ub,o_9_lb,o_9_ub
0,-14.608815501843655,-11.689270366406124,-2.6446101640351234,-0.35835538169051606,-7.003809868821953,-5.6686771331643335,-11.387335261928435,-9.794546586428455,-5.691085284307896,-2.0692527844173583,-10.458106907858756,-8.169365167098738,-11.462619177935023,-7.948730568941707,-3.738886043656491,-2.369168893825332,-3.20694501909047,-0.3583553816905156,-6.036778777270702,-4.508844620962326
1,-13.142874903855697,-11.601499861666753,-1.9540875181525632,-0.1645010707662964,-7.23592962971886,-6.201982868213125,-11.343749486688875,-10.326963857252696,-4.481738029085635,-2.3692320209954914,-10.088218641933286,-8.439867097169142,-9.76014895652428,-7.6253106606209915,-3.725102945521323,-2.9792156859221786,-1.954087518152563,-0.14682638657589564,-5.83462156770725,-4.660463231907377
2,-12.746939357509168,-11.671091444468585,-1.2375634025297908,0.17614995622665036,-7.562846531226606,-6.7551081406575575,-11.187260298035525,-10.48256546940737,-3.7774198554425267,-1.9663670276067267,-10.539819768300763,-9.152813192909111,-8.918366643203214,-7.181484531355103,-4.1416020983397885,-3.586359341332193,-1.2375634025297906,0.18087980883816918,-5.710908559808167,-4.782113934553728
3,-13.644050283462937,-11.902377478918359,-1.8858436171464168,0.08011121067383059,-7.937273310897306,-6.786571585542801,-11.324031543581114,-10.207798591828666,-4.344291515738933,-1.8163531202190155,-10.350863084235138,-8.488607276062165,-9.567536610939023,-7.1791168461643275,-4.212106846049812,-3.3043266468777044,-1.8858436171464166,0.09599659728507237,-5.758854590295216,-4.505473207693241
4,-14.123244911542379,-11.815300017940181,-2.5427043402229277,0.26798041847646914,-8.212115138700302,-6.510221774547411,-12.036231088333238,-10.636186266247014,-4.471947431612806,-1.7427062919073517,-10.822795312281519,-8.486730331823075,-9.773492978067868,-7.143254101670802,-4.3962257016804855,-3.065631770818876,-2.5427043402229277,0.2883543683836862,-6.399361440829748,-4.887476394880177
5,-12.90509927025192,-11.72484516907638,-1.5696075935555447,0.11564707275185776,-7.8075697634271215,-6.747654197497596,-11.25712391799566,-10.781766143035897,-2.72471897601618,-1.8916720062015697,-10.311892199396114,-9.291895350173093,-8.2916985729349,-7.18598293988852,-4.641730120915981,-3.8351763793911275,-1.5696075935555447,0.1156470727518582,-5.360036825648906,-4.721973685001154
6,-15.180354703508824,-11.63120511253751,-2.238880742836122,0.07915135622879932,-7.966133817446251,-6.802822465816073,-11.862418552153976,-9.168159469707154,-5.699895325411436,-1.6549403188194591,-10.233264329367008,-8.557873088500063,-10.855820621320174,-7.018982978743369,-4.493894213437525,-1.7926612868314642,-3.998249623450077,0.0813932410130903,-6.202442880762219,-4.648013155207882
7,-15.341833511760601,-11.581833150542128,-2.976428118813783,0.08811201463469523,-8.003875216216056,-5.846235493652589,-11.20327085165593,-8.957978948267797,-6.025959905609491,-1.6642443931811144,-10.635783339339525,-7.985898381768726,-10.767455413502951,-6.989258215902163,-4.069492597106991,-1.6176949887846916,-4.080825985539551,0.11836052077511994,-6.194592805243107,-4.503855786833764
8,-14.526401316581575,-10.767866940807869,-2.942121807206422,0.06271472210189126,-8.38751000777044,-6.5193236594430095,-11.948263830502064,-9.763150840366793,-5.684279169881486,-1.3633124515487303,-10.335338741686085,-7.389652000268074,-10.400434283260452,-6.188284729801505,-4.3509223025573,-2.088758993086717,-4.0679490951465,0.08961850541333394,-6.234886232640967,-4.5954743004923415
9,-15.055103404559212,-11.592151689159559,-2.6739639555104078,0.19846312175424288,-8.194320576020468,-6.515204058660759,-11.936921486379934,-9.92043470003675,-5.543820608012217,-1.2648291320203673,-11.900791634844413,-8.607345598779451,-11.565739355242746,-7.175205941008154,-4.127841769640709,-1.937122765121361,-3.932239331835479,0.21794904607037746,-6.336673648697032,-4.572042146681076
10,-15.68388535199859,-12.801688494717121,-2.9320814047940083,-0.9301291797615959,-8.251848716132988,-7.152575065037362,-12.046342459431486,-9.931352229493756,-5.512204519881102,-0.9301291797615961,-11.231831563663878,-7.8822222517785026,-11.062913538453481,-6.825296107086461,-4.043670280168607,-2.1315228048091135,-4.812265677508431,-1.6858317527558144,-6.666963913631506,-4.875095039033341
11,-12.767724293164223,-11.846481884145986,-1.1880145784655527,0.029038461058126186,-7.591114574905705,-6.759239336774584,-11.245825099823206,-10.951264328571542,-2.4060099047212664,-1.8518127992803142,-10.157124127307274,-9.49405502586789,-7.533477778677708,-7.118924900729005,-4.0197529880299765,-3.5543696423182176,-1.1880145784655527,0.02903846105812663,-5.416558681459277,-4.936621835239738
12,-15.088641399157979,-11.785212363759312,-2.4346925192559135,0.09872688959258097,-9.253929706419274,-5.503454300482922,-11.805997694728624,-9.038538432607455,-5.924104231808816,-0.9246909401019118,-10.826754394286105,-8.172779142462318,-10.802381800740234,-6.941047500844592,-4.489214264291356,-1.9698073124419506,-3.855361740570612,0.1036124570916101,-6.276571480761596,-4.8939732564976355
13,-14.817214723136702,-11.551589099629732,-2.593657764555677,-0.7303048202875252,-8.354681190268211,-6.155185568497687,-11.611679702089493,-9.358853869584898,-5.558260339377042,-0.7303048202875256,-10.441424186118091,-7.259144787947271,-10.779046377477549,-6.479730008476856,-4.2433597775396255,-1.7006034641837091,-4.550805901777262,-1.7059361716044728,-6.88429289768177,-5.029586720383
14,-13.696535465349157,-9.953157043445854,-2.4838168523932618,0.10812453613322806,-8.399242026415694,-6.3614402738976334,-11.572013531262527,-9.984405611264028,-5.6429642470242705,-1.0507694544783117,-10.641969798332052,-8.084142400287083,-10.401547616995293,-6.255081201674844,-4.546341328160356,-2.092185688320837,-3.7975806221805146,0.1179357840369149,-6.369981067195874,-4.906210299165204
15,-13.627633248388097,-11.669162379140419,-2.1679037914439427,0.2215736871055968,-8.234160045803586,-6.607945872773928,-11.185220685328675,-9.71535582106531,-3.638395771078584,-1.6232855965945252,-10.463779565607467,-8.564717634586911,-8.674939913897528,-6.450618153577615,-4.85611570920191,-3.429822309662213,-2.1679037914439427,0.23035726683835234,-6.2034536894824575,-4.9115415192216965
