instance_index,tempo_original,tempo_relaxado,len_original,len_relaxado,delta
0.0,0.71451735496521,0.4222142696380615,3.0,4.0,0.01
1.0,0.25802111625671387,0.27045154571533203,3.0,4.0,0.01
2.0,0.23749113082885742,0.1835794448852539,3.0,4.0,0.01
3.0,0.1827833652496338,0.17661833763122559,3.0,4.0,0.01
4.0,0.1793837547302246,0.17836642265319824,3.0,4.0,0.01
5.0,0.17061161994934082,0.6852738857269287,3.0,4.0,0.01
6.0,0.1744215488433838,0.1891167163848877,3.0,4.0,0.01
7.0,0.18622207641601562,0.17266273498535156,3.0,4.0,0.01
8.0,0.18571233749389648,0.18501543998718262,3.0,4.0,0.01
9.0,0.17403841018676758,0.19359874725341797,4.0,4.0,0.01
10.0,0.3350107669830322,0.2707822322845459,3.0,4.0,0.01
11.0,0.3454709053039551,0.19893550872802734,3.0,4.0,0.01
12.0,0.38634252548217773,0.4774479866027832,3.0,4.0,0.01
13.0,0.27477288246154785,0.3226017951965332,3.0,4.0,0.01
14.0,0.3814527988433838,0.1968379020690918,2.0,4.0,0.01
15.0,0.220017671585083,0.21412229537963867,3.0,4.0,0.01
16.0,0.18078923225402832,0.18842864036560059,3.0,4.0,0.01
17.0,0.19952845573425293,0.19976592063903809,3.0,4.0,0.01
18.0,0.20990228652954102,0.18118715286254883,3.0,4.0,0.01
19.0,0.16788053512573242,0.20894718170166016,3.0,4.0,0.01
20.0,0.16447877883911133,0.16768741607666016,3.0,4.0,0.01
21.0,0.18609213829040527,0.1732161045074463,3.0,4.0,0.01
22.0,0.1608889102935791,0.14638471603393555,3.0,4.0,0.01
23.0,0.1776905059814453,0.3744797706604004,3.0,4.0,0.01
24.0,0.18758201599121094,0.2113945484161377,3.0,4.0,0.01
25.0,0.280855655670166,0.6138687133789062,3.0,4.0,0.01
26.0,0.3943033218383789,0.3042166233062744,3.0,4.0,0.01
27.0,0.22481799125671387,0.46598386764526367,3.0,4.0,0.01
28.0,0.6227045059204102,0.7146975994110107,3.0,4.0,0.01
29.0,0.4768106937408447,0.4527442455291748,3.0,4.0,0.01
30.0,0.3192594051361084,0.3817434310913086,3.0,4.0,0.01
31.0,0.2657349109649658,0.18087530136108398,3.0,4.0,0.01
32.0,0.25139594078063965,0.22226667404174805,3.0,4.0,0.01
33.0,0.20872783660888672,0.3049349784851074,3.0,4.0,0.01
34.0,0.19565534591674805,0.22636890411376953,3.0,4.0,0.01
35.0,0.2562680244445801,0.2695281505584717,3.0,4.0,0.01
36.0,0.2094573974609375,0.2398359775543213,3.0,4.0,0.01
37.0,0.3309211730957031,0.26596903800964355,3.0,4.0,0.01
38.0,0.2147049903869629,0.20051360130310059,3.0,4.0,0.01
39.0,0.24234843254089355,0.1915891170501709,4.0,4.0,0.01
40.0,0.4503300189971924,0.1886425018310547,4.0,4.0,0.01
41.0,0.6328132152557373,0.23941683769226074,3.0,4.0,0.01
42.0,0.2645456790924072,0.2479851245880127,3.0,4.0,0.01
43.0,0.20735788345336914,0.22190237045288086,4.0,4.0,0.01
44.0,0.4839329719543457,0.4709889888763428,3.0,4.0,0.01
45.0,0.481508731842041,0.7257542610168457,3.0,4.0,0.01
46.0,0.20261430740356445,0.19559240341186523,3.0,4.0,0.01
47.0,0.19728851318359375,0.17427754402160645,3.0,4.0,0.01
48.0,0.7027039527893066,0.36610937118530273,3.0,4.0,0.01
49.0,0.2172086238861084,0.3635280132293701,3.0,4.0,0.01
