instance_index,tempo_original,tempo_relaxado,tempo_relaxado_global,len_original,len_relaxado,len_relaxado_global,delta,explanation,explanation_relaxed,explanation_relaxed_global
0,0.11210823059082031,0.11351466178894043,0.13218188285827637,3,1,4,0.1,"[(0, 0), (0, 2), (0, 3)]","[(0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
1,0.09621620178222656,0.0858006477355957,0.0980522632598877,3,1,4,0.1,"[(0, 0), (0, 2), (0, 3)]","[(0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
2,0.09937000274658203,0.08857345581054688,0.09644126892089844,3,0,4,0.1,"[(0, 0), (0, 2), (0, 3)]",[],"[(0, 0), (0, 1), (0, 2), (0, 3)]"
3,0.09453797340393066,0.09443187713623047,0.11634182929992676,3,0,4,0.1,"[(0, 1), (0, 2), (0, 3)]",[],"[(0, 0), (0, 1), (0, 2), (0, 3)]"
4,0.11571216583251953,0.11866641044616699,0.17421865463256836,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
5,0.10661745071411133,0.08479523658752441,0.17015624046325684,3,0,3,0.1,"[(0, 1), (0, 2), (0, 3)]",[],"[(0, 1), (0, 2), (0, 3)]"
6,0.10806798934936523,0.11623001098632812,0.10780954360961914,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
7,0.11008167266845703,0.09558892250061035,0.10503697395324707,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
8,0.09059786796569824,0.10419011116027832,0.09067654609680176,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
9,0.09738516807556152,0.09136414527893066,0.09203171730041504,4,4,4,0.1,"[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
10,0.09364748001098633,0.09537339210510254,0.09216594696044922,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
11,0.0902242660522461,0.09105920791625977,0.10228252410888672,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
12,0.10998082160949707,0.13867545127868652,0.0971677303314209,3,0,3,0.1,"[(0, 1), (0, 2), (0, 3)]",[],"[(0, 1), (0, 2), (0, 3)]"
13,0.11692953109741211,0.13654804229736328,0.12180495262145996,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
14,0.11169600486755371,0.09489893913269043,0.09134364128112793,2,1,4,0.1,"[(0, 2), (0, 3)]","[(0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
15,0.0935823917388916,0.09330439567565918,0.11518645286560059,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
16,0.08917093276977539,0.08406710624694824,0.09862565994262695,3,0,3,0.1,"[(0, 1), (0, 2), (0, 3)]",[],"[(0, 1), (0, 2), (0, 3)]"
17,0.09721040725708008,0.1012873649597168,0.09858489036560059,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
18,0.09099316596984863,0.319317102432251,0.10172104835510254,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
19,0.09955453872680664,0.09281349182128906,0.09577226638793945,3,0,4,0.1,"[(0, 1), (0, 2), (0, 3)]",[],"[(0, 0), (0, 1), (0, 2), (0, 3)]"
20,0.09506511688232422,0.09507966041564941,0.09939002990722656,3,4,4,0.1,"[(0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3)]"
21,0.09715747833251953,0.10436677932739258,0.10783624649047852,3,0,3,0.1,"[(0, 1), (0, 2), (0, 3)]",[],"[(0, 1), (0, 2), (0, 3)]"
