dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
iris,model_1layers_20neurons.h5,0,0.0587797164916992,3,"[0.04745888710021973, 0.03392505645751953, 0.030057191848754883, 0.03441429138183594, 0.02816295623779297, 0.03966951370239258, 0.038608551025390625, 0.04213452339172363, 0.0403592586517334, 0.037740230560302734]","[0, 0, 0, 0, 1, 3, 3, 3, 3, 3]"
iris,model_1layers_20neurons.h5,1,0.0413384437561035,3,"[0.03469085693359375, 0.028374671936035156, 0.030419349670410156, 0.03538942337036133, 0.03191184997558594, 0.032144784927368164, 0.030086517333984375, 0.030727863311767578, 0.03189396858215332, 0.04024028778076172]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
iris,model_1layers_20neurons.h5,2,0.0518651008605957,2,"[0.035999298095703125, 0.03457164764404297, 0.038881778717041016, 0.03383231163024902, 0.034605979919433594, 0.035111188888549805, 0.033329010009765625, 0.034687042236328125, 0.03615546226501465, 0.05167818069458008]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
iris,model_1layers_20neurons.h5,3,0.045804738998413,4,"[0.029531240463256836, 0.03309988975524902, 0.03136897087097168, 0.029547452926635742, 0.029082059860229492, 0.04023885726928711, 0.03474688529968262, 0.035163164138793945, 0.0360107421875, 0.034822702407836914]","[0, 0, 0, 0, 2, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,4,0.0400404930114746,4,"[0.03803277015686035, 0.03149747848510742, 0.028482437133789062, 0.03241419792175293, 0.03330206871032715, 0.04014444351196289, 0.05682659149169922, 0.05020904541015625, 0.049507856369018555, 0.039270639419555664]","[0, 0, 0, 3, 4, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,5,0.0470626354217529,3,"[0.02914118766784668, 0.031285762786865234, 0.03173637390136719, 0.029602766036987305, 0.03019881248474121, 0.031857967376708984, 0.030000686645507812, 0.03719496726989746, 0.03993344306945801, 0.03797149658203125]","[0, 0, 0, 0, 0, 0, 0, 1, 2, 3]"
iris,model_1layers_20neurons.h5,6,0.0569713115692138,3,"[0.03811025619506836, 0.031142473220825195, 0.03725624084472656, 0.031511783599853516, 0.03004598617553711, 0.0399174690246582, 0.04525113105773926, 0.05316329002380371, 0.05267047882080078, 0.05103468894958496]","[0, 0, 0, 0, 0, 3, 3, 3, 3, 3]"
iris,model_1layers_20neurons.h5,7,0.0554141998291015,3,"[0.03458094596862793, 0.0322108268737793, 0.029729366302490234, 0.03424429893493652, 0.032540082931518555, 0.03526043891906738, 0.04955315589904785, 0.04932403564453125, 0.05294346809387207, 0.05914878845214844]","[0, 0, 0, 0, 0, 0, 2, 2, 2, 3]"
iris,model_1layers_20neurons.h5,8,0.0412514209747314,4,"[0.03173708915710449, 0.03412652015686035, 0.030733108520507812, 0.03159618377685547, 0.036821603775024414, 0.03384518623352051, 0.03918337821960449, 0.04105687141418457, 0.054054975509643555, 0.0443263053894043]","[0, 0, 0, 0, 1, 2, 3, 3, 3, 4]"
iris,model_1layers_20neurons.h5,9,0.04109787940979,3,"[0.03253364562988281, 0.030222177505493164, 0.030460834503173828, 0.031487226486206055, 0.03420519828796387, 0.04013633728027344, 0.03984522819519043, 0.042809486389160156, 0.040911197662353516, 0.04036211967468262]","[0, 0, 0, 0, 2, 2, 3, 3, 3, 3]"
iris,model_1layers_20neurons.h5,10,0.0451998710632324,3,"[0.03478240966796875, 0.03056788444519043, 0.03188133239746094, 0.03065800666809082, 0.03028702735900879, 0.03678083419799805, 0.03930330276489258, 0.04278230667114258, 0.047884464263916016, 0.04585528373718262]","[0, 0, 0, 0, 1, 1, 2, 2, 3, 3]"
iris,model_1layers_20neurons.h5,11,0.0404121875762939,3,"[0.033355712890625, 0.1951894760131836, 0.031331539154052734, 0.03134346008300781, 0.02986884117126465, 0.03192949295043945, 0.03397965431213379, 0.042511940002441406, 0.03230762481689453, 0.03677821159362793]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
iris,model_1layers_20neurons.h5,12,0.0410010814666748,3,"[0.030532360076904297, 0.031847476959228516, 0.03311562538146973, 0.029983043670654297, 0.03131389617919922, 0.034441232681274414, 0.030408859252929688, 0.056041717529296875, 0.04600834846496582, 0.04666423797607422]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
iris,model_1layers_20neurons.h5,13,0.037200927734375,3,"[0.030673980712890625, 0.0321049690246582, 0.03424072265625, 0.0326390266418457, 0.03294491767883301, 0.03203868865966797, 0.03851008415222168, 0.030649900436401367, 0.03524971008300781, 0.039778709411621094]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
iris,model_1layers_20neurons.h5,14,0.0383582115173339,2,"[0.030668258666992188, 0.03099679946899414, 0.03203082084655762, 0.03806757926940918, 0.034180402755737305, 0.0306243896484375, 0.032961368560791016, 0.16655850410461426, 0.04962921142578125, 0.0528719425201416]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
iris,model_1layers_20neurons.h5,15,0.0422358512878418,3,"[0.03369951248168945, 0.03885912895202637, 0.03329873085021973, 0.04403352737426758, 0.041990041732788086, 0.036097049713134766, 0.03683018684387207, 0.04116415977478027, 0.03707456588745117, 0.03871870040893555]","[0, 0, 0, 0, 3, 3, 3, 3, 3, 3]"
