dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
digits,model_1layers_20neurons.h5,0,1.1929328441619873,43,"[0.47389650344848633, 0.5043210983276367, 0.5850119590759277, 0.5598795413970947, 0.6081485748291016, 0.5892603397369385, 0.5741333961486816, 1.7474865913391113, 0.5972187519073486, 0.8687615394592285]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,1,2.96455979347229,43,"[0.5445752143859863, 0.5201699733734131, 0.6851210594177246, 0.5424215793609619, 0.49643516540527344, 0.5346276760101318, 0.5157256126403809, 0.4987518787384033, 0.4902069568634033, 0.4829268455505371]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,2,1.7634868621826172,44,"[0.6440083980560303, 0.503636360168457, 0.5103516578674316, 0.5310330390930176, 0.499011754989624, 0.5091161727905273, 0.49083876609802246, 0.5152647495269775, 0.48412227630615234, 0.5837709903717041]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,3,1.190845012664795,44,"[0.4528169631958008, 0.5285708904266357, 0.48134398460388184, 0.48538684844970703, 0.4772207736968994, 0.5062403678894043, 0.47418737411499023, 0.5422525405883789, 0.47810888290405273, 0.4604911804199219]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,4,1.4972734451293943,46,"[0.47767210006713867, 0.513343334197998, 0.47666215896606445, 0.4478025436401367, 0.6275150775909424, 0.4673910140991211, 0.4840822219848633, 0.46465373039245605, 0.4697446823120117, 0.45754003524780273]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,5,1.4774222373962402,44,"[0.502600908279419, 0.5962002277374268, 0.5428245067596436, 0.47085046768188477, 0.48433661460876465, 0.4935002326965332, 0.5478248596191406, 0.47322869300842285, 0.5600624084472656, 0.49184131622314453]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,6,2.136383533477783,44,"[0.6038572788238525, 0.5154368877410889, 0.7727675437927246, 0.5632774829864502, 0.63362717628479, 0.6083340644836426, 0.49474430084228516, 0.4602925777435303, 0.43015432357788086, 0.5217912197113037]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,7,2.011183500289917,40,"[0.48320436477661133, 0.46793675422668457, 0.4466407299041748, 0.43093347549438477, 0.5138638019561768, 0.43166232109069824, 0.473008394241333, 0.4363727569580078, 0.455291748046875, 0.48752474784851074]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,8,1.304295778274536,40,"[0.5298991203308105, 0.4579660892486572, 0.4468827247619629, 0.46094298362731934, 0.4308023452758789, 0.51889967918396, 0.43168020248413086, 0.465299129486084, 0.4291493892669678, 0.4110069274902344]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,9,1.1437218189239502,47,"[0.45963168144226074, 0.4362354278564453, 0.5280106067657471, 0.4305112361907959, 0.45963025093078613, 0.42951154708862305, 0.42817044258117676, 0.49807214736938477, 0.41590189933776855, 0.4741554260253906]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,10,1.3658254146575928,40,"[0.44773435592651367, 0.4798769950866699, 0.4341564178466797, 0.5051288604736328, 0.43146848678588867, 0.4704306125640869, 0.43530988693237305, 0.42492008209228516, 0.5133056640625, 0.41383910179138184]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,11,1.0681519508361816,50,"[0.5297963619232178, 0.43875575065612793, 0.46404576301574707, 0.4402756690979004, 0.423051118850708, 0.5122361183166504, 0.41643190383911133, 0.47154903411865234, 0.5011322498321533, 0.4547135829925537]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,12,1.3839600086212158,43,"[0.45503997802734375, 0.5507235527038574, 0.4330179691314697, 0.5043454170227051, 0.42701244354248047, 0.4930868148803711, 0.5208039283752441, 0.4252922534942627, 0.4580063819885254, 0.4165306091308594]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,13,1.057708978652954,44,"[0.4684145450592041, 0.4338107109069824, 0.43736767768859863, 0.5120682716369629, 0.4291951656341553, 0.4511415958404541, 0.43331360816955566, 0.4496443271636963, 0.4944334030151367, 0.41680121421813965]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,14,1.3994474411010742,46,"[0.4646296501159668, 0.45659565925598145, 0.4420292377471924, 0.4344663619995117, 0.5096776485443115, 0.4278547763824463, 0.45063257217407227, 0.41828083992004395, 0.41733527183532715, 0.4953596591949463]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,15,1.09519362449646,42,"[0.43999695777893066, 0.5313076972961426, 0.44117236137390137, 0.46263957023620605, 0.4306528568267822, 0.41638636589050293, 0.5138280391693115, 0.4250943660736084, 0.4570636749267578, 0.4317448139190674]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,16,1.3977999687194824,46,"[0.5553827285766602, 0.49535155296325684, 0.5519082546234131, 0.47634124755859375, 0.5005300045013428, 0.4323399066925049, 0.5113399028778076, 0.4523186683654785, 0.47711968421936035, 0.42590856552124023]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
