dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
wine,model_1layers_20neurons.h5,0,0.1804070472717285,9,"[0.07303404808044434, 0.07381415367126465, 0.06438708305358887, 0.09322881698608398, 0.07919073104858398, 0.06687474250793457, 0.07274842262268066, 0.08799433708190918, 0.1728966236114502, 0.1892106533050537]","[0, 0, 0, 0, 0, 0, 0, 7, 7, 9]"
wine,model_1layers_20neurons.h5,1,0.1720914840698242,9,"[0.06531620025634766, 0.06565189361572266, 0.06726217269897461, 0.06740283966064453, 0.06820344924926758, 0.06910562515258789, 0.0881953239440918, 0.11887884140014648, 0.16693687438964844, 0.2352757453918457]","[0, 0, 0, 0, 0, 0, 3, 7, 8, 9]"
wine,model_1layers_20neurons.h5,2,0.0983235836029052,10,"[0.0849311351776123, 0.06526851654052734, 0.06348013877868652, 0.06845974922180176, 0.0834040641784668, 0.08680891990661621, 0.07715415954589844, 0.08968806266784668, 0.11698484420776367, 0.11168622970581055]","[0, 0, 0, 0, 1, 1, 6, 8, 9, 10]"
wine,model_1layers_20neurons.h5,3,0.1610000133514404,8,"[0.0663151741027832, 0.06499671936035156, 0.06250524520874023, 0.07013154029846191, 0.07024717330932617, 0.08703136444091797, 0.13908982276916504, 0.17666006088256836, 0.21628046035766602, 0.17296504974365234]","[0, 0, 0, 0, 0, 0, 2, 3, 7, 8]"
wine,model_1layers_20neurons.h5,4,0.1655726432800293,8,"[0.06781363487243652, 0.06621932983398438, 0.07379412651062012, 0.07277750968933105, 0.09109020233154297, 0.1230781078338623, 0.25368213653564453, 0.21483254432678223, 0.18750810623168945, 0.19280362129211426]","[0, 0, 0, 0, 0, 3, 3, 8, 8, 8]"
wine,model_1layers_20neurons.h5,5,0.170011281967163,9,"[0.0945124626159668, 0.08633852005004883, 0.07799911499023438, 0.09650087356567383, 0.07078051567077637, 0.08521580696105957, 0.16881585121154785, 0.1327674388885498, 0.1651768684387207, 0.18645501136779785]","[0, 0, 0, 0, 0, 0, 5, 5, 5, 9]"
wine,model_1layers_20neurons.h5,6,0.1333255767822265,10,"[0.07964611053466797, 0.06499767303466797, 0.07139444351196289, 0.07139277458190918, 0.08340096473693848, 0.10129928588867188, 0.20155644416809082, 0.1350853443145752, 0.1778104305267334, 0.14424443244934082]","[0, 0, 0, 0, 0, 3, 6, 6, 7, 10]"
wine,model_1layers_20neurons.h5,7,0.0986256599426269,10,"[0.06572580337524414, 0.06746315956115723, 0.09639167785644531, 0.09733319282531738, 0.07841968536376953, 0.10184264183044434, 0.11243581771850586, 0.1278553009033203, 0.10578608512878418, 0.11512875556945801]","[0, 0, 0, 1, 4, 6, 7, 8, 9, 10]"
wine,model_1layers_20neurons.h5,8,0.1317541599273681,11,"[0.06771588325500488, 0.09849834442138672, 0.28043627738952637, 0.2350144386291504, 0.2928292751312256, 0.1615443229675293, 0.11378073692321777, 0.14746332168579102, 0.13352513313293457, 0.14351344108581543]","[0, 0, 0, 0, 0, 0, 5, 6, 9, 11]"
wine,model_1layers_20neurons.h5,9,0.2946679592132568,9,"[0.06988286972045898, 0.06641387939453125, 0.06285667419433594, 0.0727076530456543, 0.0718526840209961, 0.07340073585510254, 0.11092782020568848, 0.32801127433776855, 0.1444687843322754, 0.15804815292358398]","[0, 0, 0, 0, 0, 2, 5, 9, 9, 9]"
