dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
breast_cancer,model_1layers_20neurons.h5,0,0.2459578514099121,25,"[0.362534761428833, 0.24364161491394043, 0.20746397972106934, 0.3717472553253174, 0.3161311149597168, 0.278378963470459, 0.3091907501220703, 0.21233201026916504, 0.2311556339263916, 0.24058842658996582]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
breast_cancer,model_1layers_20neurons.h5,1,0.5779175758361816,20,"[0.2419900894165039, 0.20608973503112793, 0.24881815910339355, 0.18857979774475098, 0.23201489448547363, 0.21283388137817383, 0.23659491539001465, 0.23189496994018555, 0.2107067108154297, 0.24355363845825195]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
breast_cancer,model_1layers_20neurons.h5,2,0.4402163028717041,20,"[0.3920271396636963, 0.29790592193603516, 0.32618165016174316, 0.24995875358581543, 0.218550443649292, 0.2232828140258789, 0.46410226821899414, 0.25803446769714355, 0.20390558242797852, 0.21133065223693848]","[19, 23, 22, 24, 25, 26, 24, 25, 25, 25]"
breast_cancer,model_1layers_20neurons.h5,3,0.3331708908081054,23,"[0.19104313850402832, 0.21434569358825684, 0.22955012321472168, 0.225022554397583, 0.22985601425170898, 0.21016788482666016, 0.23952388763427734, 0.21415352821350098, 0.25672411918640137, 0.2853047847747803]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
breast_cancer,model_1layers_20neurons.h5,4,0.3225607872009277,19,"[0.22622394561767578, 0.24352359771728516, 0.21133160591125488, 0.20736360549926758, 0.2153611183166504, 0.21039962768554688, 0.21203351020812988, 0.2329249382019043, 0.21687769889831543, 0.20597386360168457]","[19, 21, 21, 22, 25, 24, 25, 24, 24, 24]"
breast_cancer,model_1layers_20neurons.h5,5,0.588538408279419,20,"[0.21356964111328125, 0.20792675018310547, 0.20308494567871094, 0.1905841827392578, 0.2352275848388672, 0.223876953125, 0.22095513343811035, 0.37329983711242676, 0.2550370693206787, 0.26002001762390137]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
breast_cancer,model_1layers_20neurons.h5,6,0.2808516025543213,23,"[0.20730924606323242, 0.21581077575683594, 0.23439502716064453, 0.24176836013793945, 0.22692537307739258, 0.24663257598876953, 0.24281811714172363, 0.227830171585083, 0.23349237442016602, 0.1962752342224121]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
breast_cancer,model_1layers_20neurons.h5,7,0.378140926361084,23,"[0.21685290336608887, 0.21242427825927734, 0.20396900177001953, 0.22495436668395996, 0.23903727531433105, 0.28108739852905273, 0.26337671279907227, 0.22798705101013184, 0.20729279518127441, 0.22715425491333008]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
breast_cancer,model_1layers_20neurons.h5,8,0.2571189403533935,24,"[0.22272634506225586, 0.2134561538696289, 0.21808981895446777, 0.24868297576904297, 0.21199321746826172, 0.21847844123840332, 0.21003222465515137, 0.22908401489257812, 0.2718327045440674, 0.2002115249633789]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
breast_cancer,model_1layers_20neurons.h5,9,0.551971435546875,22,"[0.2932870388031006, 0.2267448902130127, 0.35070109367370605, 0.39911341667175293, 0.21444368362426758, 0.21618103981018066, 0.20757198333740234, 0.2324542999267578, 0.24108028411865234, 0.19215941429138184]","[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]"
