dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
digits,model_1layers_20neurons.h5,0,1.189863920211792,43,"[0.3623652458190918, 0.33780479431152344, 0.340684175491333, 0.4070117473602295, 0.5503513813018799, 0.501976490020752, 0.5095391273498535, 0.4903888702392578, 0.5049960613250732, 0.46063780784606934]","[2, 2, 2, 2, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,1,1.96118688583374,43,"[0.3285224437713623, 0.34732556343078613, 0.3568992614746094, 0.35364866256713867, 0.5187890529632568, 0.4980204105377197, 0.5466980934143066, 0.4795541763305664, 0.5025413036346436, 0.46416401863098145]","[2, 2, 9, 11, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,2,1.448481798171997,44,"[0.36514854431152344, 0.308307409286499, 0.31640028953552246, 0.3582022190093994, 0.5119249820709229, 0.5166325569152832, 0.6828048229217529, 0.5308480262756348, 0.47832274436950684, 0.4660978317260742]","[3, 5, 5, 5, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,3,1.261577844619751,44,"[0.3112070560455322, 0.33061766624450684, 0.3357260227203369, 0.31798219680786133, 0.5084409713745117, 0.5074548721313477, 0.49669480323791504, 0.525223970413208, 0.4893810749053955, 0.483156681060791]","[1, 2, 2, 2, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,4,1.4934217929840088,46,"[0.31722521781921387, 0.3314990997314453, 0.3276059627532959, 0.32692933082580566, 0.5134570598602295, 0.49225878715515137, 0.5110650062561035, 0.4893929958343506, 0.5010981559753418, 0.4834251403808594]","[3, 4, 4, 4, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,5,1.306642770767212,44,"[0.3315575122833252, 0.3146345615386963, 0.3008553981781006, 0.34168004989624023, 0.5302913188934326, 0.525911808013916, 0.5254158973693848, 0.48903965950012207, 0.5017468929290771, 0.470015287399292]","[2, 2, 2, 2, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,6,1.5554676055908203,44,"[0.3262052536010742, 0.34766364097595215, 0.3359532356262207, 0.3389899730682373, 0.50030517578125, 0.5060968399047852, 0.4860391616821289, 0.5134468078613281, 0.4843864440917969, 0.5089621543884277]","[2, 4, 4, 10, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,7,2.0715131759643555,40,"[0.32770395278930664, 0.32570648193359375, 0.3449079990386963, 0.34808897972106934, 0.4892764091491699, 0.5107271671295166, 0.5022079944610596, 0.4955623149871826, 0.49045562744140625, 0.49127697944641113]","[3, 3, 3, 10, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,8,1.3624470233917236,40,"[0.3268110752105713, 0.33599066734313965, 0.3525702953338623, 0.31696486473083496, 0.5255515575408936, 0.49890899658203125, 0.5031352043151855, 0.4994027614593506, 0.48783111572265625, 0.4948465824127197]","[2, 2, 2, 2, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,9,1.1057512760162354,47,"[0.3244481086730957, 0.3656291961669922, 0.34101152420043945, 0.3508458137512207, 0.5131528377532959, 0.48393845558166504, 0.502061128616333, 0.5073587894439697, 0.468250036239624, 0.48719215393066406]","[2, 10, 10, 10, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,10,1.4005131721496582,40,"[0.3233766555786133, 0.3216543197631836, 0.30089616775512695, 0.33008551597595215, 0.572180986404419, 0.5073554515838623, 0.7390637397766113, 0.6575210094451904, 0.5324573516845703, 0.49483156204223633]","[1, 2, 2, 9, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,11,1.1952168941497805,50,"[0.5061120986938477, 0.3271462917327881, 0.3750922679901123, 0.43076658248901367, 0.5954198837280273, 0.5047616958618164, 0.5196921825408936, 0.4641385078430176, 0.4944496154785156, 0.4731152057647705]","[2, 2, 3, 29, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,12,1.2551822662353516,43,"[0.3064274787902832, 0.35660791397094727, 0.32773256301879883, 0.3868536949157715, 0.49926161766052246, 0.4956352710723877, 0.5017471313476562, 0.45850276947021484, 0.5016810894012451, 0.4707005023956299]","[5, 5, 5, 25, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,13,1.0349109172821045,44,"[0.33524298667907715, 0.34204840660095215, 0.31250572204589844, 0.31960296630859375, 0.5191419124603271, 0.4745666980743408, 0.5033721923828125, 0.46578359603881836, 0.4879424571990967, 0.5011181831359863]","[4, 4, 4, 4, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,14,1.367928981781006,46,"[0.5547420978546143, 0.3042120933532715, 0.32602953910827637, 0.33088231086730957, 0.5233414173126221, 0.5277376174926758, 0.5058186054229736, 0.5385596752166748, 0.5034904479980469, 0.4843454360961914]","[2, 2, 2, 2, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,15,1.1699230670928955,42,"[0.304424524307251, 0.30075550079345703, 0.31411290168762207, 0.3498859405517578, 0.5138082504272461, 0.5302934646606445, 0.5233182907104492, 0.5434834957122803, 0.5130071640014648, 0.5253088474273682]","[1, 1, 2, 9, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,16,1.2218849658966064,46,"[0.3315091133117676, 0.3290424346923828, 0.33868932723999023, 0.3729250431060791, 0.5170106887817383, 0.4849839210510254, 0.4871835708618164, 0.5108916759490967, 0.4843459129333496, 0.4929218292236328]","[2, 2, 2, 19, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,17,1.3159334659576416,44,"[0.32764554023742676, 0.35047483444213867, 0.3066096305847168, 0.37549448013305664, 0.5479764938354492, 0.5426108837127686, 0.5281410217285156, 0.47877049446105957, 0.5032835006713867, 0.472919225692749]","[2, 2, 2, 18, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,18,1.527414083480835,47,"[0.33527612686157227, 0.3257012367248535, 0.33061814308166504, 0.5163671970367432, 0.503922700881958, 0.525747537612915, 0.502211332321167, 0.5049188137054443, 0.47917842864990234, 0.5018072128295898]","[1, 2, 2, 64, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,19,1.36206316947937,42,"[0.31716418266296387, 0.35259294509887695, 0.3533897399902344, 0.34145689010620117, 0.5363526344299316, 0.48207712173461914, 0.5215909481048584, 0.4944746494293213, 0.4976515769958496, 0.45723605155944824]","[2, 5, 10, 10, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,20,1.4055540561676023,45,"[0.3257317543029785, 0.3251049518585205, 0.3032844066619873, 0.3407020568847656, 0.5113756656646729, 0.4916057586669922, 0.5182316303253174, 0.4886741638183594, 0.5202593803405762, 0.458935022354126]","[2, 4, 4, 4, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,21,1.6287477016448977,41,"[0.3103494644165039, 0.3309757709503174, 0.3482208251953125, 0.29581570625305176, 0.4914281368255615, 0.5141434669494629, 0.4919593334197998, 0.4948122501373291, 0.4754652976989746, 0.5431361198425293]","[1, 2, 2, 2, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,22,2.939769506454468,40,"[0.3929877281188965, 0.3401670455932617, 0.3422255516052246, 0.32259202003479004, 0.4986724853515625, 0.49478888511657715, 0.5014238357543945, 0.49642491340637207, 0.49086833000183105, 0.47152090072631836]","[3, 3, 3, 3, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,23,1.3086321353912354,41,"[0.31643009185791016, 0.31934618949890137, 0.32141757011413574, 0.3465704917907715, 0.49609899520874023, 0.5275516510009766, 0.48742222785949707, 0.4924631118774414, 0.5046849250793457, 0.5080685615539551]","[2, 2, 2, 2, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,24,1.004352331161499,46,"[0.3945941925048828, 0.5739188194274902, 0.3410830497741699, 0.389249324798584, 0.6202712059020996, 0.5426301956176758, 0.48911499977111816, 0.5900304317474365, 0.6403944492340088, 0.6911580562591553]","[2, 2, 2, 17, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,25,1.153820276260376,47,"[0.4562399387359619, 0.39107203483581543, 0.32843732833862305, 0.3891642093658447, 0.5319356918334961, 0.5264341831207275, 0.5772244930267334, 0.7022528648376465, 0.5710797309875488, 0.5222399234771729]","[1, 2, 6, 6, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,26,1.2390077114105225,48,"[0.5405669212341309, 0.31081271171569824, 0.32126450538635254, 0.3482093811035156, 0.514052152633667, 0.4676859378814697, 0.48258280754089355, 0.4684329032897949, 0.4874870777130127, 0.4671363830566406]","[3, 3, 4, 25, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,27,1.0045993328094482,50,"[0.29825377464294434, 0.3320634365081787, 0.29438304901123047, 0.37071990966796875, 0.4816007614135742, 0.4603385925292969, 0.48940515518188477, 0.45705103874206543, 0.4551241397857666, 0.47065281867980957]","[2, 2, 5, 27, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,28,1.1558749675750732,47,"[0.3043084144592285, 0.30907773971557617, 0.3337998390197754, 0.3213808536529541, 0.5655806064605713, 0.5013566017150879, 0.49811267852783203, 0.5014410018920898, 0.45655131340026855, 0.47884583473205566]","[3, 3, 3, 3, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,29,1.821221113204956,43,"[0.3362598419189453, 0.3479619026184082, 0.371476411819458, 0.7360737323760986, 0.5542504787445068, 0.528883695602417, 0.5445525646209717, 0.526202917098999, 0.555239200592041, 0.490215539932251]","[2, 2, 2, 2, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,30,2.123700857162476,41,"[0.3962736129760742, 0.3935425281524658, 0.3952016830444336, 0.3725707530975342, 0.5343656539916992, 0.5954897403717041, 0.8796200752258301, 0.5742390155792236, 0.5683488845825195, 0.48094964027404785]","[1, 1, 10, 21, 64, 64, 64, 64, 64, 64]"
digits,model_1layers_20neurons.h5,31,2.18449068069458,48,"[0.3926074504852295, 0.3127110004425049, 0.33240556716918945, 0.330538272857666, 0.6203222274780273, 0.4766688346862793, 0.5458967685699463, 0.4785122871398926, 0.5695235729217529, 0.48322272300720215]","[3, 4, 4, 4, 64, 64, 64, 64, 64, 64]"
