dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
glass,model_1layers_20neurons.h5,0,0.0678126811981201,8,"[0.041606903076171875, 0.04077744483947754, 0.04424405097961426, 0.04048728942871094, 0.07097864151000977, 0.07144594192504883, 0.07352018356323242, 0.06725740432739258, 0.06674766540527344, 0.06836819648742676]","[0, 0, 0, 0, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,1,0.081660509109497,6,"[0.042017221450805664, 0.04203176498413086, 0.05375337600708008, 0.06885814666748047, 0.06534743309020996, 0.06494379043579102, 0.06538772583007812, 0.06636571884155273, 0.06320762634277344, 0.060776710510253906]","[0, 0, 4, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,2,0.0647656917572021,8,"[0.04097127914428711, 0.04684782028198242, 0.050615549087524414, 0.04402947425842285, 0.07480406761169434, 0.1108999252319336, 0.07642936706542969, 0.06186532974243164, 0.06900262832641602, 0.06243610382080078]","[0, 0, 1, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,3,0.0617055892944335,8,"[0.04149365425109863, 0.04351091384887695, 0.04624319076538086, 0.04739093780517578, 0.08996295928955078, 0.0718231201171875, 0.07141351699829102, 0.07294654846191406, 0.06878471374511719, 0.06890225410461426]","[0, 0, 0, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,4,0.0993592739105224,6,"[0.04627251625061035, 0.04434847831726074, 0.046180009841918945, 0.0488278865814209, 0.09085440635681152, 0.13525152206420898, 0.08860445022583008, 0.09353923797607422, 0.0797266960144043, 0.1508469581604004]","[0, 0, 0, 0, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,5,0.0817725658416748,7,"[0.04303574562072754, 0.040134429931640625, 0.04947853088378906, 0.04938197135925293, 0.09515070915222168, 0.0852200984954834, 0.07374763488769531, 0.05850982666015625, 0.053072214126586914, 0.06875801086425781]","[0, 0, 1, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,6,0.0759725570678711,6,"[0.03835415840148926, 0.03756141662597656, 0.04052400588989258, 0.044767141342163086, 0.07052421569824219, 0.06835079193115234, 0.06613016128540039, 0.05895185470581055, 0.05591297149658203, 0.05576133728027344]","[0, 0, 1, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,7,0.0768775939941406,6,"[0.038188934326171875, 0.03734993934631348, 0.04294776916503906, 0.05938553810119629, 0.061295509338378906, 0.06124591827392578, 0.06213712692260742, 0.20493197441101074, 0.057196617126464844, 0.04961442947387695]","[0, 0, 1, 4, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,8,0.0605106353759765,8,"[0.03990530967712402, 0.034937143325805664, 0.03887677192687988, 0.04751729965209961, 0.0639650821685791, 0.06712150573730469, 0.06429100036621094, 0.07335782051086426, 0.0602266788482666, 0.05708003044128418]","[0, 0, 1, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,9,0.0864210128784179,6,"[0.03839683532714844, 0.04067516326904297, 0.047209978103637695, 0.05211973190307617, 0.07606363296508789, 0.07605600357055664, 0.0928964614868164, 0.07697367668151855, 0.06597256660461426, 0.062100887298583984]","[0, 0, 1, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,10,0.0617702007293701,9,"[0.04172801971435547, 0.04186606407165527, 0.04098653793334961, 0.04025530815124512, 0.0825958251953125, 0.07416343688964844, 0.08225202560424805, 0.08454036712646484, 0.07204937934875488, 0.06544733047485352]","[0, 0, 0, 0, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,11,0.0599086284637451,9,"[0.039164066314697266, 0.03480672836303711, 0.03479743003845215, 0.03822064399719238, 0.057630300521850586, 0.059092044830322266, 0.05790591239929199, 0.05837702751159668, 0.058298349380493164, 0.07758426666259766]","[0, 0, 0, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,12,0.0548365116119384,9,"[0.04177522659301758, 0.037751197814941406, 0.04063272476196289, 0.037082672119140625, 0.05358409881591797, 0.05233001708984375, 0.057347774505615234, 0.054654836654663086, 0.052597999572753906, 0.048985958099365234]","[0, 0, 0, 0, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,13,0.0522229671478271,7,"[0.04215264320373535, 0.03519129753112793, 0.038474321365356445, 0.04130244255065918, 0.06806659698486328, 0.08120536804199219, 0.08383631706237793, 0.057579994201660156, 0.058012962341308594, 0.05800461769104004]","[0, 0, 1, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,14,0.0800478458404541,6,"[0.041046857833862305, 0.039391517639160156, 0.043647050857543945, 0.04122304916381836, 0.06454658508300781, 0.0679781436920166, 0.06078195571899414, 0.05702948570251465, 0.056810617446899414, 0.05261969566345215]","[0, 0, 1, 1, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,15,0.0579748153686523,8,"[0.04357099533081055, 0.03981471061706543, 0.038144826889038086, 0.047759294509887695, 0.14218926429748535, 0.1571810245513916, 0.05625772476196289, 0.05784440040588379, 0.057415008544921875, 0.05460381507873535]","[0, 0, 0, 3, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,16,0.0890777111053466,7,"[0.037004709243774414, 0.0412898063659668, 0.04539895057678223, 0.08910107612609863, 0.06580400466918945, 0.05878138542175293, 0.05467557907104492, 0.05557823181152344, 0.07313847541809082, 0.06337189674377441]","[1, 1, 1, 1, 9, 9, 9, 9, 9, 9]"
