dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
iris,model_1layers_20neurons.h5,0,0.1296846866607666,3,"[0.08357954025268555, 0.08769583702087402, 0.08179545402526855, 0.09559798240661621, 0.08030557632446289, 0.054946184158325195, 0.06331086158752441, 0.06094217300415039, 0.05961465835571289, 0.06094193458557129]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,1,0.0475125312805175,3,"[0.04652714729309082, 0.10607647895812988, 0.11555027961730957, 0.31136322021484375, 0.0790402889251709, 0.04270458221435547, 0.04424476623535156, 0.05782961845397949, 0.05737185478210449, 0.07155299186706543]","[0, 0, 1, 1, 2, 2, 2, 3, 3, 3]"
iris,model_1layers_20neurons.h5,2,0.068575382232666,2,"[0.06050753593444824, 0.053073883056640625, 0.05057048797607422, 0.055792808532714844, 0.07086682319641113, 0.06388640403747559, 0.0744633674621582, 0.08487296104431152, 0.09026241302490234, 0.06302833557128906]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,3,0.0406165122985839,4,"[0.06026124954223633, 0.04836845397949219, 0.0728611946105957, 0.05452537536621094, 0.05607914924621582, 0.04385638236999512, 0.07461762428283691, 0.05376935005187988, 0.05389690399169922, 0.06583714485168457]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,4,0.0394392013549804,4,"[0.043859243392944336, 0.04246687889099121, 0.06791996955871582, 0.05460333824157715, 0.05793190002441406, 0.062126874923706055, 0.04754638671875, 0.05310392379760742, 0.04858136177062988, 0.051361083984375]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,5,0.0440526008605957,3,"[0.04622840881347656, 0.042992591857910156, 0.04570364952087402, 0.05323457717895508, 0.04476046562194824, 0.050327301025390625, 0.1044614315032959, 0.1680901050567627, 0.10845780372619629, 0.0544276237487793]","[0, 0, 1, 2, 2, 3, 3, 3, 3, 3]"
iris,model_1layers_20neurons.h5,6,0.0558626651763916,3,"[0.05610466003417969, 0.07417082786560059, 0.0561370849609375, 0.04969596862792969, 0.05383610725402832, 0.04768800735473633, 0.06132936477661133, 0.060616493225097656, 0.0631108283996582, 0.052229881286621094]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,7,0.0583510398864746,3,"[0.042519330978393555, 0.05437469482421875, 0.05955982208251953, 0.05301856994628906, 0.04474687576293945, 0.04376029968261719, 0.04311513900756836, 0.04586291313171387, 0.043444156646728516, 0.043410301208496094]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,8,0.0401480197906494,4,"[0.039391279220581055, 0.04679369926452637, 0.04491376876831055, 0.04667186737060547, 0.03708076477050781, 0.035886287689208984, 0.04521489143371582, 0.044281721115112305, 0.04292726516723633, 0.04482412338256836]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
iris,model_1layers_20neurons.h5,9,0.0625150203704834,3,"[0.056594133377075195, 0.055051565170288086, 0.05568075180053711, 0.09060263633728027, 0.06445598602294922, 0.06279873847961426, 0.06435823440551758, 0.059465646743774414, 0.07251524925231934, 0.057126522064208984]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
