dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
wine,model_1layers_20neurons.h5,0,0.1813185214996338,9,"[0.06907439231872559, 0.08515667915344238, 0.11714863777160645, 0.11551642417907715, 0.10628461837768555, 0.1025552749633789, 0.1086740493774414, 0.11031770706176758, 0.14391636848449707, 0.10364079475402832]","[0, 2, 4, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,1,0.1717536449432373,9,"[0.07520389556884766, 0.07210183143615723, 0.07426786422729492, 0.10647439956665039, 0.09889912605285645, 0.10106682777404785, 0.11657071113586426, 0.11570954322814941, 0.1075596809387207, 0.10040831565856934]","[0, 0, 0, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,2,0.0986664295196533,10,"[0.0678412914276123, 0.07692956924438477, 0.06953549385070801, 0.07424163818359375, 0.0978541374206543, 0.11059927940368652, 0.15988588333129883, 0.1816120147705078, 0.14881038665771484, 0.10876274108886719]","[0, 0, 0, 3, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,3,0.1578819751739502,8,"[0.06562066078186035, 0.06561493873596191, 0.06555604934692383, 0.07834649085998535, 0.11218452453613281, 0.10727381706237793, 0.10944747924804688, 0.09856772422790527, 0.1013038158416748, 0.11921811103820801]","[0, 0, 0, 5, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,4,0.1991820335388183,8,"[0.16869878768920898, 0.0772404670715332, 0.09879422187805176, 0.09168553352355957, 0.10696935653686523, 0.09861421585083008, 0.09232592582702637, 0.09148931503295898, 0.10036706924438477, 0.0927727222442627]","[0, 0, 0, 0, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,5,0.1260514259338379,9,"[0.0679316520690918, 0.06493735313415527, 0.06874966621398926, 0.07356882095336914, 0.08473563194274902, 0.10866117477416992, 0.10831475257873535, 0.1318514347076416, 0.11109542846679688, 0.11192059516906738]","[0, 0, 0, 0, 1, 3, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,6,0.1076898574829101,10,"[0.07752704620361328, 0.07645606994628906, 0.08564186096191406, 0.07341361045837402, 0.08314347267150879, 0.0893864631652832, 0.1019735336303711, 0.12010860443115234, 0.11554479598999023, 0.10224103927612305]","[0, 0, 0, 0, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,7,0.1144120693206787,10,"[0.08887767791748047, 0.09597992897033691, 0.08328890800476074, 0.08246541023254395, 0.10957598686218262, 0.09451818466186523, 0.09588336944580078, 0.10161566734313965, 0.10303306579589844, 0.10328316688537598]","[0, 0, 0, 2, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,8,0.1101593971252441,11,"[0.07104969024658203, 0.08612871170043945, 0.0782461166381836, 0.06265830993652344, 0.0983438491821289, 0.09642696380615234, 0.09423065185546875, 0.10113954544067383, 0.1043863296508789, 0.10113930702209473]","[0, 0, 0, 2, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,9,0.1743917465209961,9,"[0.10725998878479004, 0.08838605880737305, 0.07038497924804688, 0.07406044006347656, 0.09717464447021484, 0.08966207504272461, 0.09380292892456055, 0.10678243637084961, 0.11628103256225586, 0.12282061576843262]","[0, 0, 0, 0, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,10,0.1487014293670654,9,"[0.07477498054504395, 0.06244945526123047, 0.08813190460205078, 0.08780217170715332, 0.10797762870788574, 0.12519168853759766, 0.11210346221923828, 0.09987783432006836, 0.12848711013793945, 0.11569523811340332]","[0, 0, 3, 5, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,11,0.1637201309204101,8,"[0.062419891357421875, 0.05914616584777832, 0.0689847469329834, 0.07840728759765625, 0.08704066276550293, 0.1086721420288086, 0.09795618057250977, 0.0934152603149414, 0.10215520858764648, 0.11734628677368164]","[0, 0, 0, 2, 6, 6, 13, 13, 13, 13]"
