dataset,modelo,instance,relaxed_times,relaxed_len_eq,relaxed_len_range,relaxed_explanation
iris,model_1layers_20neurons.h5,0,"[0.04697751998901367, 0.055850982666015625, 0.1732325553894043, 0.05015206336975098, 0.06744241714477539, 0.08055543899536133, 0.06755185127258301, 0.06429791450500488, 0.05102396011352539, 0.05382513999938965]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}]"
iris,model_1layers_20neurons.h5,1,"[0.031238794326782227, 0.027913808822631836, 0.024313688278198242, 0.027242183685302734, 0.02663707733154297, 0.028571128845214844, 0.028014659881591797, 0.02943897247314453, 0.10986804962158203, 0.1240534782409668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.3025,x_0,0.3225), docplex.mp.RangeConstraint[input_range_1](0.99,x_1,1), docplex.mp.RangeConstraint[input_range_2](0.061428571428571395,x_2,0.08142857142857139), docplex.mp.RangeConstraint[input_range_3](0.0809090909090909,x_3,0.10090909090909089)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2925,x_0,0.3325), docplex.mp.RangeConstraint[input_range_1](0.98,x_1,1), docplex.mp.RangeConstraint[input_range_2](0.05142857142857139,x_2,0.0914285714285714), docplex.mp.RangeConstraint[input_range_3](0.0709090909090909,x_3,0.1109090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2825,x_0,0.3425), docplex.mp.RangeConstraint[input_range_1](0.97,x_1,1), docplex.mp.RangeConstraint[input_range_2](0.0414285714285714,x_2,0.1014285714285714), docplex.mp.RangeConstraint[input_range_3](0.0609090909090909,x_3,0.1209090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2725,x_0,0.3525), docplex.mp.RangeConstraint[input_range_1](0.96,x_1,1), docplex.mp.RangeConstraint[input_range_2](0.031428571428571396,x_2,0.1114285714285714), docplex.mp.RangeConstraint[input_range_3](0.0509090909090909,x_3,0.1309090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2625,x_0,0.3625), docplex.mp.RangeConstraint[input_range_1](0.95,x_1,1), docplex.mp.RangeConstraint[input_range_2](0.021428571428571394,x_2,0.1214285714285714), docplex.mp.RangeConstraint[input_range_3](0.040909090909090895,x_3,0.1409090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2525,x_0,0.3725), docplex.mp.RangeConstraint[input_range_1](0.94,x_1,1), docplex.mp.RangeConstraint[input_range_2](0.011428571428571399,x_2,0.1314285714285714), docplex.mp.RangeConstraint[input_range_3](0.0309090909090909,x_3,0.15090909090909088)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2425,x_0,0.3825), docplex.mp.RangeConstraint[input_range_1](0.9299999999999999,x_1,1), docplex.mp.RangeConstraint[input_range_2](0.0014285714285713902,x_2,0.1414285714285714), docplex.mp.RangeConstraint[input_range_3](0.02090909090909089,x_3,0.1609090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.23249999999999998,x_0,0.3925), docplex.mp.RangeConstraint[input_range_1](0.92,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.1514285714285714), docplex.mp.RangeConstraint[input_range_3](0.010909090909090896,x_3,0.1709090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2225,x_0,0.40249999999999997), docplex.mp.RangeConstraint[input_range_1](0.91,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.1614285714285714), docplex.mp.RangeConstraint[input_range_3](0.0009090909090909011,x_3,0.1809090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2125,x_0,0.4125), docplex.mp.RangeConstraint[input_range_1](0.9,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.1714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.19090909090909092)]}]"
iris,model_1layers_20neurons.h5,2,"[0.2725207805633545, 0.2092304229736328, 0.04865598678588867, 0.047978878021240234, 0.04457259178161621, 0.04404449462890625, 0.11931920051574707, 0.09841418266296387, 0.06199455261230469, 0.051229238510131836]","[1, 2, 3, 3, 3, 3, 4, 4, 4, 4]","[3, 2, 1, 1, 1, 1, 0, 0, 0, 0]","[{'eq': {'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.9275,x_0,0.9475), docplex.mp.RangeConstraint[input_range_1](0.24,x_1,0.26), docplex.mp.RangeConstraint[input_range_2](0.99,x_2,1)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.9175,x_0,0.9575), docplex.mp.RangeConstraint[input_range_1](0.23,x_1,0.27)]}, {'eq': {'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.9075,x_0,0.9675)]}, {'eq': {'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.8975,x_0,0.9775)]}, {'eq': {'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.8875,x_0,0.9875)]}, {'eq': {'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.8775,x_0,0.9975)]}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}]"
iris,model_1layers_20neurons.h5,3,"[0.06560015678405762, 0.05666065216064453, 0.05060911178588867, 0.05108761787414551, 0.04172706604003906, 0.045297861099243164, 0.05255126953125, 0.059015512466430664, 0.03551197052001953, 0.040003061294555664]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}]"
iris,model_1layers_20neurons.h5,4,"[0.22689342498779297, 0.05144381523132324, 0.03554987907409668, 0.03624892234802246, 0.047471046447753906, 0.04810523986816406, 0.050394296646118164, 0.0464634895324707, 0.046796560287475586, 0.04282689094543457]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}]"
iris,model_1layers_20neurons.h5,5,"[0.027098894119262695, 0.02821516990661621, 0.027109861373901367, 0.029412031173706055, 0.0317533016204834, 0.03110647201538086, 0.03232145309448242, 0.029552936553955078, 0.030729055404663086, 0.031641483306884766]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.20875,x_0,0.22875), docplex.mp.RangeConstraint[input_range_1](0.74,x_1,0.76), docplex.mp.RangeConstraint[input_range_2](0.0257142857142856,x_2,0.0457142857142856), docplex.mp.RangeConstraint[input_range_3](0.1263636363636363,x_3,0.1463636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.19875,x_0,0.23875), docplex.mp.RangeConstraint[input_range_1](0.73,x_1,0.77), docplex.mp.RangeConstraint[input_range_2](0.0157142857142856,x_2,0.055714285714285605), docplex.mp.RangeConstraint[input_range_3](0.1163636363636363,x_3,0.1563636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.18875,x_0,0.24875), docplex.mp.RangeConstraint[input_range_1](0.72,x_1,0.78), docplex.mp.RangeConstraint[input_range_2](0.005714285714285602,x_2,0.0657142857142856), docplex.mp.RangeConstraint[input_range_3](0.1063636363636363,x_3,0.1663636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.17875,x_0,0.25875), docplex.mp.RangeConstraint[input_range_1](0.71,x_1,0.79), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.0757142857142856), docplex.mp.RangeConstraint[input_range_3](0.09636363636363629,x_3,0.1763636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.16875,x_0,0.26875), docplex.mp.RangeConstraint[input_range_1](0.7,x_1,0.8), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.0857142857142856), docplex.mp.RangeConstraint[input_range_3](0.0863636363636363,x_3,0.1863636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.15875,x_0,0.27875), docplex.mp.RangeConstraint[input_range_1](0.69,x_1,0.81), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.0957142857142856), docplex.mp.RangeConstraint[input_range_3](0.0763636363636363,x_3,0.1963636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.14875,x_0,0.28875), docplex.mp.RangeConstraint[input_range_1](0.6799999999999999,x_1,0.8200000000000001), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.10571428571428561), docplex.mp.RangeConstraint[input_range_3](0.06636363636363629,x_3,0.2063636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.13874999999999998,x_0,0.29875), docplex.mp.RangeConstraint[input_range_1](0.67,x_1,0.83), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.1157142857142856), docplex.mp.RangeConstraint[input_range_3](0.056363636363636296,x_3,0.2163636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.12875,x_0,0.30874999999999997), docplex.mp.RangeConstraint[input_range_1](0.66,x_1,0.84), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.1257142857142856), docplex.mp.RangeConstraint[input_range_3](0.0463636363636363,x_3,0.2263636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.11875,x_0,0.31875), docplex.mp.RangeConstraint[input_range_1](0.65,x_1,0.85), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.13571428571428562), docplex.mp.RangeConstraint[input_range_3](0.03636363636363629,x_3,0.2363636363636363)]}]"
iris,model_1layers_20neurons.h5,6,"[0.04538583755493164, 0.03997635841369629, 0.04235363006591797, 0.04093313217163086, 0.0418703556060791, 0.0399167537689209, 0.04221367835998535, 0.04095578193664551, 0.03918719291687012, 0.03801703453063965]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}]"
iris,model_1layers_20neurons.h5,7,"[0.05061483383178711, 0.049662113189697266, 0.0349423885345459, 0.034522294998168945, 0.038039207458496094, 0.03414106369018555, 0.03632307052612305, 0.038593292236328125, 0.042061805725097656, 0.037740230560302734]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}]"
iris,model_1layers_20neurons.h5,8,"[0.035956621170043945, 0.03592562675476074, 0.034377098083496094, 0.03500103950500488, 0.03259873390197754, 0.03374981880187988, 0.036054372787475586, 0.035212039947509766, 0.03498506546020508, 0.03357100486755371]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}]"
iris,model_1layers_20neurons.h5,9,"[0.04119420051574707, 0.03497314453125, 0.037142038345336914, 0.035057783126831055, 0.03546285629272461, 0.03959512710571289, 0.04758644104003906, 0.058843374252319336, 0.24394559860229492, 0.04973268508911133]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}]"
