dataset,modelo,instance,original_time_milp,original_len_milp,original_explanation,relaxed_time_milp_relaxed,relaxed_len_milp_relaxed,relaxed_explanation
breast_cancer,model_1layers_20neurons.h5,0,0.2021341323852539,25,"{'x_3': 0.0453870625662778, 'x_5': 0.3739647874363536, 'x_6': 0.733364573570759, 'x_7': 0.2174453280318091, 'x_8': 0.5308080808080808, 'x_9': 0.6423757371524854, 'x_10': 0.0781821473836683, 'x_11': 0.1842733380480904, 'x_12': 0.0531498845592046, 'x_13': 0.0202989178144109, 'x_14': 0.2663765849678757, 'x_15': 0.6294349145311984, 'x_16': 0.7671717171717172, 'x_17': 0.6292858495927258, 'x_18': 0.4796532898069454, 'x_19': 0.2993311498970468, 'x_20': 0.0846673781572394, 'x_21': 0.2833155650319829, 'x_22': 0.075153145076946, 'x_23': 0.0342852929610695, 'x_24': 0.5086838803407514, 'x_25': 0.3970175898167283, 'x_27': 0.6013745704467354, 'x_28': 0.524935935343978, 'x_29': 0.409681227863046}",0.2264072895050048,30,"{'x_0': 0.0969283922570873, 'x_1': 0.2576936083868785, 'x_2': 0.1036555870361412, 'x_3': 0.0453870625662778, 'x_4': 0.4872257831542837, 'x_5': 0.3739647874363536, 'x_6': 0.733364573570759, 'x_7': 0.2174453280318091, 'x_8': 0.5308080808080808, 'x_9': 0.6423757371524854, 'x_10': 0.0781821473836683, 'x_11': 0.1842733380480904, 'x_12': 0.0531498845592046, 'x_13': 0.0202989178144109, 'x_14': 0.2663765849678757, 'x_15': 0.6294349145311984, 'x_16': 0.7671717171717172, 'x_17': 0.6292858495927258, 'x_18': 0.4796532898069454, 'x_19': 0.2993311498970468, 'x_20': 0.0846673781572394, 'x_21': 0.2833155650319829, 'x_22': 0.075153145076946, 'x_23': 0.0342852929610695, 'x_24': 0.5086838803407514, 'x_25': 0.3970175898167283, 'x_26': 1.0, 'x_27': 0.6013745704467354, 'x_28': 0.524935935343978, 'x_29': 0.409681227863046}"
breast_cancer,model_1layers_20neurons.h5,1,0.415776252746582,20,"{'x_9': 0.5058972198820557, 'x_10': 0.1876878508057215, 'x_11': 0.0889984087694483, 'x_12': 0.1723130565895491, 'x_13': 0.139443927694911, 'x_14': 0.0863446306557432, 'x_15': 0.3405083065460991, 'x_16': 0.0977777777777777, 'x_17': 0.2968365220685736, 'x_18': 0.142089266617887, 'x_19': 0.1520182966433122, 'x_21': 0.5719616204690832, 'x_22': 0.627969520394442, 'x_23': 0.4679020841525757, 'x_24': 0.5146272204979199, 'x_25': 0.7093265807065032, 'x_26': 0.5415335463258787, 'x_27': 0.9975945017182132, 'x_28': 0.4993100729351469, 'x_29': 0.4811753902662993}",0.2114717960357666,30,"{'x_0': 0.6677552179468977, 'x_1': 0.5701724721001014, 'x_2': 0.6835049409163153, 'x_3': 0.4952279957582184, 'x_4': 0.554933646294123, 'x_5': 0.8092141586405742, 'x_6': 0.5827085285848171, 'x_7': 0.7435387673956263, 'x_8': 0.6742424242424243, 'x_9': 0.5058972198820557, 'x_10': 0.1876878508057215, 'x_11': 0.0889984087694483, 'x_12': 0.1723130565895491, 'x_13': 0.139443927694911, 'x_14': 0.0863446306557432, 'x_15': 0.3405083065460991, 'x_16': 0.0977777777777777, 'x_17': 0.2968365220685736, 'x_18': 0.142089266617887, 'x_19': 0.1520182966433122, 'x_20': 0.6670224119530416, 'x_21': 0.5719616204690832, 'x_22': 0.627969520394442, 'x_23': 0.4679020841525757, 'x_24': 0.5146272204979199, 'x_25': 0.7093265807065032, 'x_26': 0.5415335463258787, 'x_27': 0.9975945017182132, 'x_28': 0.4993100729351469, 'x_29': 0.4811753902662993}"
breast_cancer,model_1layers_20neurons.h5,2,0.2948830127716064,20,"{'x_6': 0.1402999062792877, 'x_7': 0.1083499005964214, 'x_10': 0.1080210030780372, 'x_11': 0.420968882602546, 'x_12': 0.0872166988644395, 'x_13': 0.0312253687910675, 'x_15': 0.2788475981614444, 'x_17': 0.295510513354802, 'x_18': 0.4789497382788315, 'x_19': 0.1702251150449815, 'x_20': 0.0739950195659907, 'x_21': 0.1921641791044777, 'x_22': 0.0756013745704467, 'x_23': 0.0306970114038537, 'x_24': 0.1795549098593409, 'x_25': 0.1363235051566396, 'x_26': 0.1115814696485623, 'x_27': 0.1748109965635738, 'x_28': 0.3384585058150996, 'x_29': 0.195854650400105}",0.204153299331665,25,"{'x_3': 0.0497985153764581, 'x_6': 0.1402999062792877, 'x_7': 0.1083499005964214, 'x_8': 0.646969696969697, 'x_9': 0.4142796967144062, 'x_10': 0.1080210030780372, 'x_11': 0.420968882602546, 'x_12': 0.0872166988644395, 'x_13': 0.0312253687910675, 'x_14': 0.2388074922663765, 'x_15': 0.2788475981614444, 'x_16': 0.1088888888888888, 'x_17': 0.295510513354802, 'x_18': 0.4789497382788315, 'x_19': 0.1702251150449815, 'x_20': 0.0739950195659907, 'x_21': 0.1921641791044777, 'x_22': 0.0756013745704467, 'x_23': 0.0306970114038537, 'x_24': 0.1795549098593409, 'x_25': 0.1363235051566396, 'x_26': 0.1115814696485623, 'x_27': 0.1748109965635738, 'x_28': 0.3384585058150996, 'x_29': 0.195854650400105}"
breast_cancer,model_1layers_20neurons.h5,3,0.2659194469451904,23,"{'x_6': 0.0557403936269915, 'x_7': 0.0802683896620278, 'x_8': 0.4227272727272728, 'x_9': 0.2807497893850044, 'x_10': 0.0500452652543907, 'x_11': 0.2503536067892503, 'x_12': 0.0348678320689817, 'x_13': 0.0183751153347603, 'x_14': 0.1861508651460039, 'x_16': 0.0272979797979797, 'x_17': 0.1182989202500473, 'x_18': 0.1927449766420892, 'x_19': 0.059567734892141, 'x_20': 0.1536819637139808, 'x_21': 0.6175373134328358, 'x_22': 0.1373076348423726, 'x_23': 0.0664815178922532, 'x_24': 0.5199101895265139, 'x_25': 0.109157765035752, 'x_26': 0.0898562300319488, 'x_27': 0.2108591065292096, 'x_28': 0.3634930021683422, 'x_29': 0.1733569460842188}",0.2144463062286377,30,"{'x_0': 0.1736475933551043, 'x_1': 0.5245180926614811, 'x_2': 0.1673692212010228, 'x_3': 0.0863202545068928, 'x_4': 0.3966778008486053, 'x_5': 0.1624440218391509, 'x_6': 0.0557403936269915, 'x_7': 0.0802683896620278, 'x_8': 0.4227272727272728, 'x_9': 0.2807497893850044, 'x_10': 0.0500452652543907, 'x_11': 0.2503536067892503, 'x_12': 0.0348678320689817, 'x_13': 0.0183751153347603, 'x_14': 0.1861508651460039, 'x_15': 0.0608195391594316, 'x_16': 0.0272979797979797, 'x_17': 0.1182989202500473, 'x_18': 0.1927449766420892, 'x_19': 0.059567734892141, 'x_20': 0.1536819637139808, 'x_21': 0.6175373134328358, 'x_22': 0.1373076348423726, 'x_23': 0.0664815178922532, 'x_24': 0.5199101895265139, 'x_25': 0.109157765035752, 'x_26': 0.0898562300319488, 'x_27': 0.2108591065292096, 'x_28': 0.3634930021683422, 'x_29': 0.1733569460842188}"
breast_cancer,model_1layers_20neurons.h5,4,0.2919728755950928,19,"{'x_6': 0.025398313027179, 'x_7': 0.0641153081510934, 'x_10': 0.146405938801376, 'x_11': 0.2388613861386138, 'x_12': 0.1203882580219573, 'x_13': 0.0519576091057493, 'x_17': 0.155199848456147, 'x_18': 0.4776833455282265, 'x_19': 0.1747509086135179, 'x_20': 0.1099252934898612, 'x_21': 0.1447228144989339, 'x_22': 0.0968673738732008, 'x_23': 0.045074714903657, 'x_24': 0.3719870567258799, 'x_25': 0.0692435311581337, 'x_26': 0.0173162939297124, 'x_27': 0.0886254295532646, 'x_28': 0.3926670609107038, 'x_29': 0.1650268922996196}",0.2196621894836425,24,"{'x_3': 0.0714316012725344, 'x_5': 0.1878105637690939, 'x_6': 0.025398313027179, 'x_7': 0.0641153081510934, 'x_8': 0.8499999999999999, 'x_9': 0.413647851727043, 'x_10': 0.146405938801376, 'x_11': 0.2388613861386138, 'x_12': 0.1203882580219573, 'x_13': 0.0519576091057493, 'x_15': 0.0656262204464205, 'x_17': 0.155199848456147, 'x_18': 0.4776833455282265, 'x_19': 0.1747509086135179, 'x_20': 0.1099252934898612, 'x_21': 0.1447228144989339, 'x_22': 0.0968673738732008, 'x_23': 0.045074714903657, 'x_24': 0.3719870567258799, 'x_25': 0.0692435311581337, 'x_26': 0.0173162939297124, 'x_27': 0.0886254295532646, 'x_28': 0.3926670609107038, 'x_29': 0.1650268922996196}"
breast_cancer,model_1layers_20neurons.h5,5,0.5101902484893799,20,"{'x_6': 0.3840206185567009, 'x_7': 0.3660039761431411, 'x_9': 0.438289806234204, 'x_11': 0.1486916548797736, 'x_14': 0.1323724377060883, 'x_15': 0.3015291254844234, 'x_16': 0.1197222222222222, 'x_17': 0.2064784997158552, 'x_18': 0.1503911746496313, 'x_19': 0.157926011912165, 'x_20': 0.3390252579153326, 'x_21': 0.6692430703624735, 'x_22': 0.3670003486229393, 'x_23': 0.1862957137239481, 'x_24': 0.6381166215413061, 'x_25': 0.6116269367717398, 'x_26': 0.5611821086261981, 'x_27': 0.5883161512027492, 'x_28': 0.5229647151586833, 'x_29': 0.5185622458349732}",0.1992816925048828,30,"{'x_0': 0.3577547446637323, 'x_1': 0.602975989178221, 'x_2': 0.3658351185128878, 'x_3': 0.2185790031813361, 'x_4': 0.5531281032770605, 'x_5': 0.4297895834611374, 'x_6': 0.3840206185567009, 'x_7': 0.3660039761431411, 'x_8': 0.6277777777777778, 'x_9': 0.438289806234204, 'x_10': 0.0936085460800289, 'x_11': 0.1486916548797736, 'x_12': 0.0999858643924044, 'x_13': 0.0480913264524708, 'x_14': 0.1323724377060883, 'x_15': 0.3015291254844234, 'x_16': 0.1197222222222222, 'x_17': 0.2064784997158552, 'x_18': 0.1503911746496313, 'x_19': 0.157926011912165, 'x_20': 0.3390252579153326, 'x_21': 0.6692430703624735, 'x_22': 0.3670003486229393, 'x_23': 0.1862957137239481, 'x_24': 0.6381166215413061, 'x_25': 0.6116269367717398, 'x_26': 0.5611821086261981, 'x_27': 0.5883161512027492, 'x_28': 0.5229647151586833, 'x_29': 0.5185622458349732}"
breast_cancer,model_1layers_20neurons.h5,6,0.2693922519683838,23,"{'x_5': 0.454634684988651, 'x_6': 0.3191190253045922, 'x_7': 0.328131212723658, 'x_9': 0.4625105307497894, 'x_10': 0.2786891182328444, 'x_11': 0.3115717821782178, 'x_12': 0.1697686472223531, 'x_13': 0.131319130814833, 'x_15': 0.7821972541833148, 'x_16': 0.2515151515151514, 'x_17': 0.5249100208372798, 'x_18': 0.4627680531322114, 'x_19': 0.7588546632947778, 'x_20': 0.2789043045179651, 'x_21': 0.2694562899786781, 'x_22': 0.2554410080183276, 'x_23': 0.1430642941407786, 'x_24': 0.1892623654493825, 'x_25': 0.2133577824994421, 'x_26': 0.1773162939297124, 'x_27': 0.3508591065292096, 'x_28': 0.1393652671003351, 'x_29': 0.216122261576807}",0.2549459934234619,30,"{'x_0': 0.3516020635146008, 'x_1': 0.3388569496110922, 'x_2': 0.3609978577845346, 'x_3': 0.2152704135737009, 'x_4': 0.315428365080798, 'x_5': 0.454634684988651, 'x_6': 0.3191190253045922, 'x_7': 0.328131212723658, 'x_8': 0.3303030303030303, 'x_9': 0.4625105307497894, 'x_10': 0.2786891182328444, 'x_11': 0.3115717821782178, 'x_12': 0.1697686472223531, 'x_13': 0.131319130814833, 'x_14': 0.2056293979671618, 'x_15': 0.7821972541833148, 'x_16': 0.2515151515151514, 'x_17': 0.5249100208372798, 'x_18': 0.4627680531322114, 'x_19': 0.7588546632947778, 'x_20': 0.2789043045179651, 'x_21': 0.2694562899786781, 'x_22': 0.2554410080183276, 'x_23': 0.1430642941407786, 'x_24': 0.1892623654493825, 'x_25': 0.2133577824994421, 'x_26': 0.1773162939297124, 'x_27': 0.3508591065292096, 'x_28': 0.1393652671003351, 'x_29': 0.216122261576807}"
breast_cancer,model_1layers_20neurons.h5,7,0.3474833965301513,23,"{'x_5': 0.1518618489663211, 'x_6': 0.0820759137769446, 'x_7': 0.1428926441351888, 'x_9': 0.1830244313395115, 'x_10': 0.0233206590621039, 'x_11': 0.14002828854314, 'x_12': 0.0181878151062526, 'x_13': 0.0109600708258155, 'x_15': 0.0973202751825036, 'x_16': 0.0362121212121212, 'x_17': 0.1629475279408979, 'x_18': 0.1002983058479203, 'x_19': 0.0239487030664842, 'x_20': 0.1561721807186055, 'x_21': 0.2665245202558636, 'x_22': 0.1470192738682205, 'x_23': 0.0680298859614628, 'x_24': 0.3158555107970679, 'x_25': 0.1334128901436873, 'x_26': 0.1117412140575079, 'x_27': 0.2912714776632302, 'x_28': 0.2190025625862409, 'x_29': 0.0827102190738554}",0.2623448371887207,30,"{'x_0': 0.2105636802498935, 'x_1': 0.1920865742306391, 'x_2': 0.202266602169857, 'x_3': 0.1087168610816543, 'x_4': 0.3950528121332491, 'x_5': 0.1518618489663211, 'x_6': 0.0820759137769446, 'x_7': 0.1428926441351888, 'x_8': 0.3404040404040405, 'x_9': 0.1830244313395115, 'x_10': 0.0233206590621039, 'x_11': 0.14002828854314, 'x_12': 0.0181878151062526, 'x_13': 0.0109600708258155, 'x_14': 0.1162593058435598, 'x_15': 0.0973202751825036, 'x_16': 0.0362121212121212, 'x_17': 0.1629475279408979, 'x_18': 0.1002983058479203, 'x_19': 0.0239487030664842, 'x_20': 0.1561721807186055, 'x_21': 0.2665245202558636, 'x_22': 0.1470192738682205, 'x_23': 0.0680298859614628, 'x_24': 0.3158555107970679, 'x_25': 0.1334128901436873, 'x_26': 0.1117412140575079, 'x_27': 0.2912714776632302, 'x_28': 0.2190025625862409, 'x_29': 0.0827102190738554}"
breast_cancer,model_1layers_20neurons.h5,8,0.2864100933074951,24,"{'x_5': 0.1454205263480768, 'x_6': 0.0910262417994376, 'x_7': 0.1158548707753479, 'x_8': 0.4595959595959596, 'x_9': 0.2594776748104466, 'x_10': 0.0392902408111533, 'x_12': 0.0342552890731753, 'x_13': 0.0181323053130568, 'x_14': 0.1293469762382296, 'x_15': 0.1003995553819809, 'x_16': 0.0503535353535353, 'x_17': 0.1501041863989392, 'x_18': 0.1422299769235098, 'x_19': 0.0549037491535729, 'x_20': 0.2013518320882248, 'x_21': 0.3518123667377398, 'x_22': 0.1802380596643258, 'x_23': 0.093147856861974, 'x_24': 0.333685531268573, 'x_25': 0.1469957602041311, 'x_26': 0.1551916932907348, 'x_27': 0.2821649484536083, 'x_28': 0.3051448846836192, 'x_29': 0.1723730814639906}",0.242333173751831,30,"{'x_0': 0.2493728998059539, 'x_1': 0.2783226242813662, 'x_2': 0.2382696427337434, 'x_3': 0.1343796394485684, 'x_4': 0.3061298185429268, 'x_5': 0.1454205263480768, 'x_6': 0.0910262417994376, 'x_7': 0.1158548707753479, 'x_8': 0.4595959595959596, 'x_9': 0.2594776748104466, 'x_10': 0.0392902408111533, 'x_11': 0.1374867397454031, 'x_12': 0.0342552890731753, 'x_13': 0.0181323053130568, 'x_14': 0.1293469762382296, 'x_15': 0.1003995553819809, 'x_16': 0.0503535353535353, 'x_17': 0.1501041863989392, 'x_18': 0.1422299769235098, 'x_19': 0.0549037491535729, 'x_20': 0.2013518320882248, 'x_21': 0.3518123667377398, 'x_22': 0.1802380596643258, 'x_23': 0.093147856861974, 'x_24': 0.333685531268573, 'x_25': 0.1469957602041311, 'x_26': 0.1551916932907348, 'x_27': 0.2821649484536083, 'x_28': 0.3051448846836192, 'x_29': 0.1723730814639906}"
breast_cancer,model_1layers_20neurons.h5,9,0.5229823589324951,22,"{'x_7': 0.4687375745526839, 'x_8': 0.3747474747474748, 'x_9': 0.2510530749789386, 'x_11': 0.1134856789250353, 'x_12': 0.1365028506808651, 'x_13': 0.0988012656005438, 'x_14': 0.114763572084169, 'x_15': 0.1560519121578994, 'x_16': 0.077070707070707, 'x_17': 0.2231483235461261, 'x_18': 0.0378229301514042, 'x_19': 0.0862388237082487, 'x_20': 0.5620775524724297, 'x_21': 0.3520788912579958, 'x_22': 0.5482842771054335, 'x_23': 0.3590247738891073, 'x_24': 0.4657597569834246, 'x_25': 0.2945639413608095, 'x_26': 0.3342651757188498, 'x_27': 0.5542955326460481, 'x_28': 0.1939680662329983, 'x_29': 0.2382264200446018}",0.2827732563018799,30,"{'x_0': 0.6109612381087606, 'x_1': 0.3567805207981062, 'x_2': 0.5991983967935872, 'x_3': 0.4540827147401909, 'x_4': 0.4610454094068791, 'x_5': 0.3423716336421079, 'x_6': 0.3305998125585754, 'x_7': 0.4687375745526839, 'x_8': 0.3747474747474748, 'x_9': 0.2510530749789386, 'x_10': 0.1435451747238819, 'x_11': 0.1134856789250353, 'x_12': 0.1365028506808651, 'x_13': 0.0988012656005438, 'x_14': 0.114763572084169, 'x_15': 0.1560519121578994, 'x_16': 0.077070707070707, 'x_17': 0.2231483235461261, 'x_18': 0.0378229301514042, 'x_19': 0.0862388237082487, 'x_20': 0.5620775524724297, 'x_21': 0.3520788912579958, 'x_22': 0.5482842771054335, 'x_23': 0.3590247738891073, 'x_24': 0.4657597569834246, 'x_25': 0.2945639413608095, 'x_26': 0.3342651757188498, 'x_27': 0.5542955326460481, 'x_28': 0.1939680662329983, 'x_29': 0.2382264200446018}"
