dataset,modelo,instance,original_time_milp,original_len_milp,original_explanation,relaxed_time_milp_relaxed,relaxed_len_milp_relaxed,relaxed_explanation
glass,model_1layers_20neurons.h5,0,0.0916090011596679,8,"{'x_0': 0.4513704686118416, 'x_1': 0.458498023715415, 'x_2': 0.8129175946547883, 'x_3': 0.1806853582554517, 'x_5': 0.0305958132045088, 'x_6': 0.4107806691449813, 'x_7': 0.0, 'x_8': 0.3333333333333333}",0.1097774505615234,9,"{'x_0': 0.4513704686118416, 'x_1': 0.458498023715415, 'x_2': 0.8129175946547883, 'x_3': 0.1806853582554517, 'x_4': 0.4487895716945971, 'x_5': 0.0305958132045088, 'x_6': 0.4107806691449813, 'x_7': 0.0, 'x_8': 0.3333333333333333}"
glass,model_1layers_20neurons.h5,1,0.0854837894439697,6,"{'x_2': 0.0, 'x_3': 0.1433021806853582, 'x_4': 0.6089385474860318, 'x_5': 0.0, 'x_6': 0.8856877323420074, 'x_7': 0.0}",0.0831341743469238,9,"{'x_0': 0.710875331564992, 'x_1': 0.0573122529644263, 'x_2': 0.0, 'x_3': 0.1433021806853582, 'x_4': 0.6089385474860318, 'x_5': 0.0, 'x_6': 0.8856877323420074, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,2,0.2780389785766601,8,"{'x_0': 0.2117595048629539, 'x_2': 0.7572383073496659, 'x_3': 0.2897196261682243, 'x_4': 0.5363128491620088, 'x_5': 0.0950080515297906, 'x_6': 0.2685873605947955, 'x_7': 0.0, 'x_8': 0.0}",0.0921933650970459,9,"{'x_0': 0.2117595048629539, 'x_1': 0.5316205533596836, 'x_2': 0.7572383073496659, 'x_3': 0.2897196261682243, 'x_4': 0.5363128491620088, 'x_5': 0.0950080515297906, 'x_6': 0.2685873605947955, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,3,0.1648354530334472,8,"{'x_0': 0.3138815207780681, 'x_1': 0.4525691699604741, 'x_2': 0.8062360801781737, 'x_3': 0.2398753894080997, 'x_5': 0.1030595813204508, 'x_6': 0.3438661710037175, 'x_7': 0.0, 'x_8': 0.2941176470588235}",0.0938520431518554,9,"{'x_0': 0.3138815207780681, 'x_1': 0.4525691699604741, 'x_2': 0.8062360801781737, 'x_3': 0.2398753894080997, 'x_4': 0.4711359404096829, 'x_5': 0.1030595813204508, 'x_6': 0.3438661710037175, 'x_7': 0.0, 'x_8': 0.2941176470588235}"
glass,model_1layers_20neurons.h5,4,0.1090085506439209,6,"{'x_2': 0.8507795100222716, 'x_3': 0.0560747663551401, 'x_5': 0.0177133655394524, 'x_6': 0.3847583643122676, 'x_7': 0.0, 'x_8': 0.0}",0.1049890518188476,9,"{'x_0': 0.4783377541998277, 'x_1': 0.6877470355731226, 'x_2': 0.8507795100222716, 'x_3': 0.0560747663551401, 'x_4': 0.3649906890130339, 'x_5': 0.0177133655394524, 'x_6': 0.3847583643122676, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,5,0.0951364040374755,7,"{'x_0': 0.2603890362511123, 'x_2': 0.7795100222717148, 'x_3': 0.2679127725856697, 'x_5': 0.0805152979066022, 'x_6': 0.278810408921933, 'x_7': 0.0, 'x_8': 0.0}",0.0885181427001953,9,"{'x_0': 0.2603890362511123, 'x_1': 0.5237154150197627, 'x_2': 0.7795100222717148, 'x_3': 0.2679127725856697, 'x_4': 0.5661080074487863, 'x_5': 0.0805152979066022, 'x_6': 0.278810408921933, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,6,0.0840072631835937,6,"{'x_2': 0.7928730512249442, 'x_3': 0.4205607476635513, 'x_4': 0.6201117318435738, 'x_5': 0.1046698872785829, 'x_6': 0.2379182156133829, 'x_7': 0.0}",0.0935485363006591,9,"{'x_0': 0.2400530503978757, 'x_1': 0.4229249011857705, 'x_2': 0.7928730512249442, 'x_3': 0.4205607476635513, 'x_4': 0.6201117318435738, 'x_5': 0.1046698872785829, 'x_6': 0.2379182156133829, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,7,0.0984838008880615,6,"{'x_2': 0.0, 'x_3': 0.1183800623052959, 'x_4': 0.4115456238361243, 'x_5': 0.0096618357487922, 'x_6': 0.8336431226765797, 'x_7': 0.0}",0.1130609512329101,9,"{'x_0': 0.7276746242263528, 'x_1': 0.3774703557312251, 'x_2': 0.0, 'x_3': 0.1183800623052959, 'x_4': 0.4115456238361243, 'x_5': 0.0096618357487922, 'x_6': 0.8336431226765797, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,8,0.0724813938140869,8,"{'x_0': 0.2886825817860341, 'x_1': 0.4644268774703555, 'x_2': 0.77728285077951, 'x_3': 0.308411214953271, 'x_5': 0.0966183574879227, 'x_6': 0.2843866171003717, 'x_7': 0.0, 'x_8': 0.0}",0.0977113246917724,9,"{'x_0': 0.2886825817860341, 'x_1': 0.4644268774703555, 'x_2': 0.77728285077951, 'x_3': 0.308411214953271, 'x_4': 0.5679702048417123, 'x_5': 0.0966183574879227, 'x_6': 0.2843866171003717, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,9,0.0977149009704589,6,"{'x_2': 0.7884187082405345, 'x_3': 0.4361370716510903, 'x_4': 0.5437616387337041, 'x_5': 0.0869565217391304, 'x_6': 0.2797397769516727, 'x_7': 0.0}",0.0914206504821777,9,"{'x_0': 0.2670203359858476, 'x_1': 0.4525691699604741, 'x_2': 0.7884187082405345, 'x_3': 0.4361370716510903, 'x_4': 0.5437616387337041, 'x_5': 0.0869565217391304, 'x_6': 0.2797397769516727, 'x_7': 0.0, 'x_8': 0.1372549019607843}"
