dataset,modelo,instance,original_time_milp,original_len_milp,original_explanation,relaxed_time_milp_relaxed,relaxed_len_milp_relaxed,relaxed_explanation
wine,model_1layers_20neurons.h5,0,0.1414716243743896,9,"{'x_4': 0.3043478260869566, 'x_5': 0.6275862068965518, 'x_6': 0.2046413502109704, 'x_7': 0.7547169811320755, 'x_8': 0.7215189873417722, 'x_9': 1.0, 'x_10': 0.073170731707317, 'x_11': 0.2527472527472527, 'x_12': 0.3010244286840032}",0.1115734577178955,13,"{'x_0': 0.8710526315789475, 'x_1': 0.1608961303462321, 'x_2': 0.716577540106952, 'x_3': 0.7422680412371134, 'x_4': 0.3043478260869566, 'x_5': 0.6275862068965518, 'x_6': 0.2046413502109704, 'x_7': 0.7547169811320755, 'x_8': 0.7215189873417722, 'x_9': 1.0, 'x_10': 0.073170731707317, 'x_11': 0.2527472527472527, 'x_12': 0.3010244286840032}"
wine,model_1layers_20neurons.h5,1,0.1618015766143798,9,"{'x_1': 0.940936863543788, 'x_2': 0.6844919786096256, 'x_5': 0.2793103448275862, 'x_6': 0.0548523206751054, 'x_8': 0.2151898734177215, 'x_9': 0.2895204262877442, 'x_10': 0.2764227642276423, 'x_11': 0.1538461538461538, 'x_12': 0.1867612293144208}",0.109586477279663,13,"{'x_0': 0.3947368421052633, 'x_1': 0.940936863543788, 'x_2': 0.6844919786096256, 'x_3': 0.7422680412371134, 'x_4': 0.2826086956521739, 'x_5': 0.2793103448275862, 'x_6': 0.0548523206751054, 'x_7': 0.9433962264150944, 'x_8': 0.2151898734177215, 'x_9': 0.2895204262877442, 'x_10': 0.2764227642276423, 'x_11': 0.1538461538461538, 'x_12': 0.1867612293144208}"
wine,model_1layers_20neurons.h5,2,0.1004097461700439,10,"{'x_0': 0.3526315789473684, 'x_1': 0.0366598778004073, 'x_2': 0.3957219251336897, 'x_3': 0.4072164948453608, 'x_7': 0.2075471698113207, 'x_8': 0.4841772151898734, 'x_9': 0.2451154529307282, 'x_10': 0.4552845528455285, 'x_11': 0.5494505494505495, 'x_12': 0.3010244286840032}",0.1171610355377197,13,"{'x_0': 0.3526315789473684, 'x_1': 0.0366598778004073, 'x_2': 0.3957219251336897, 'x_3': 0.4072164948453608, 'x_4': 0.1956521739130435, 'x_5': 0.8758620689655172, 'x_6': 0.7194092827004218, 'x_7': 0.2075471698113207, 'x_8': 0.4841772151898734, 'x_9': 0.2451154529307282, 'x_10': 0.4552845528455285, 'x_11': 0.5494505494505495, 'x_12': 0.3010244286840032}"
wine,model_1layers_20neurons.h5,3,0.1496520042419433,8,"{'x_5': 0.5586206896551725, 'x_6': 0.160337552742616, 'x_7': 0.7358490566037735, 'x_8': 0.5917721518987342, 'x_9': 0.88898756660746, 'x_10': 0.073170731707317, 'x_11': 0.1868131868131868, 'x_12': 0.2695035460992908}",0.1155552864074707,13,"{'x_0': 0.6447368421052633, 'x_1': 0.1588594704684317, 'x_2': 0.6844919786096256, 'x_3': 0.6134020618556701, 'x_4': 0.2065217391304348, 'x_5': 0.5586206896551725, 'x_6': 0.160337552742616, 'x_7': 0.7358490566037735, 'x_8': 0.5917721518987342, 'x_9': 0.88898756660746, 'x_10': 0.073170731707317, 'x_11': 0.1868131868131868, 'x_12': 0.2695035460992908}"
wine,model_1layers_20neurons.h5,4,0.1373145580291748,8,"{'x_0': 0.5368421052631582, 'x_3': 0.2525773195876288, 'x_6': 0.4852320675105485, 'x_7': 0.2830188679245283, 'x_9': 0.1740674955595027, 'x_10': 0.5691056910569106, 'x_11': 0.5201465201465201, 'x_12': 0.5847123719464146}",0.1054229736328125,13,"{'x_0': 0.5368421052631582, 'x_1': 0.1242362525458248, 'x_2': 0.3957219251336897, 'x_3': 0.2525773195876288, 'x_4': 0.3043478260869566, 'x_5': 0.4896551724137931, 'x_6': 0.4852320675105485, 'x_7': 0.2830188679245283, 'x_8': 0.300632911392405, 'x_9': 0.1740674955595027, 'x_10': 0.5691056910569106, 'x_11': 0.5201465201465201, 'x_12': 0.5847123719464146}"
wine,model_1layers_20neurons.h5,5,0.1303789615631103,9,"{'x_1': 0.0814663951120163, 'x_2': 0.3101604278074864, 'x_3': 0.4329896907216495, 'x_6': 0.3586497890295358, 'x_7': 0.490566037735849, 'x_9': 0.0852575488454707, 'x_10': 0.3089430894308944, 'x_11': 0.641025641025641, 'x_12': 0.0267927501970055}",0.1176977157592773,13,"{'x_0': 0.3131578947368423, 'x_1': 0.0814663951120163, 'x_2': 0.3101604278074864, 'x_3': 0.4329896907216495, 'x_4': 0.2391304347826087, 'x_5': 0.4758620689655172, 'x_6': 0.3586497890295358, 'x_7': 0.490566037735849, 'x_8': 0.5253164556962024, 'x_9': 0.0852575488454707, 'x_10': 0.3089430894308944, 'x_11': 0.641025641025641, 'x_12': 0.0267927501970055}"
wine,model_1layers_20neurons.h5,6,0.1161971092224121,10,"{'x_1': 0.0183299389002036, 'x_2': 0.4705882352941176, 'x_3': 0.3814432989690721, 'x_6': 0.3375527426160337, 'x_7': 0.320754716981132, 'x_8': 0.3291139240506329, 'x_9': 0.0781527531083481, 'x_10': 0.6097560975609757, 'x_11': 0.6923076923076923, 'x_12': 0.1355397951142632}",0.1423659324645996,13,"{'x_0': 0.431578947368421, 'x_1': 0.0183299389002036, 'x_2': 0.4705882352941176, 'x_3': 0.3814432989690721, 'x_4': 0.3152173913043478, 'x_5': 0.4206896551724138, 'x_6': 0.3375527426160337, 'x_7': 0.320754716981132, 'x_8': 0.3291139240506329, 'x_9': 0.0781527531083481, 'x_10': 0.6097560975609757, 'x_11': 0.6923076923076923, 'x_12': 0.1355397951142632}"
wine,model_1layers_20neurons.h5,7,0.0986206531524658,10,"{'x_0': 0.6078947368421055, 'x_1': 0.010183299389002, 'x_2': 0.5347593582887699, 'x_3': 0.3298969072164949, 'x_6': 0.2025316455696202, 'x_7': 0.7924528301886793, 'x_9': 0.1269982238010657, 'x_10': 0.4390243902439024, 'x_11': 0.2417582417582417, 'x_12': 0.3719464144996061}",0.1062471866607666,13,"{'x_0': 0.6078947368421055, 'x_1': 0.010183299389002, 'x_2': 0.5347593582887699, 'x_3': 0.3298969072164949, 'x_4': 0.4347826086956522, 'x_5': 0.5344827586206896, 'x_6': 0.2025316455696202, 'x_7': 0.7924528301886793, 'x_8': 0.0, 'x_9': 0.1269982238010657, 'x_10': 0.4390243902439024, 'x_11': 0.2417582417582417, 'x_12': 0.3719464144996061}"
wine,model_1layers_20neurons.h5,8,0.1048893928527832,11,"{'x_1': 0.8268839103869653, 'x_2': 0.5294117647058824, 'x_3': 0.4845360824742268, 'x_5': 0.3517241379310345, 'x_6': 0.0970464135021097, 'x_7': 0.641509433962264, 'x_8': 0.1898734177215189, 'x_9': 0.236234458259325, 'x_10': 0.3495934959349594, 'x_11': 0.2857142857142856, 'x_12': 0.2143420015760441}",0.1176366806030273,13,"{'x_0': 0.6815789473684211, 'x_1': 0.8268839103869653, 'x_2': 0.5294117647058824, 'x_3': 0.4845360824742268, 'x_4': 0.2391304347826087, 'x_5': 0.3517241379310345, 'x_6': 0.0970464135021097, 'x_7': 0.641509433962264, 'x_8': 0.1898734177215189, 'x_9': 0.236234458259325, 'x_10': 0.3495934959349594, 'x_11': 0.2857142857142856, 'x_12': 0.2143420015760441}"
wine,model_1layers_20neurons.h5,9,0.1280837059020996,9,"{'x_2': 0.7005347593582886, 'x_3': 0.4123711340206186, 'x_6': 0.6118143459915611, 'x_7': 0.320754716981132, 'x_8': 0.7563291139240507, 'x_9': 0.3499111900532859, 'x_10': 0.4471544715447155, 'x_11': 0.6959706959706959, 'x_12': 0.7147360126083531}",0.1323177814483642,13,"{'x_0': 0.560526315789474, 'x_1': 0.2993890020366598, 'x_2': 0.7005347593582886, 'x_3': 0.4123711340206186, 'x_4': 0.3369565217391305, 'x_5': 0.6275862068965518, 'x_6': 0.6118143459915611, 'x_7': 0.320754716981132, 'x_8': 0.7563291139240507, 'x_9': 0.3499111900532859, 'x_10': 0.4471544715447155, 'x_11': 0.6959706959706959, 'x_12': 0.7147360126083531}"
