dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
digits,model_4layers_20neurons.h5,0,,,"[0.8321678638458252, 0.8173260688781738, 0.9546787738800049, 0.8702843189239502, 0.6838250160217285, 0.6937785148620605, 0.6362309455871582, 0.6485550403594971, 0.6399562358856201, 0.6443583965301514, 0.639127254486084, 0.6193637847900391, 0.6738450527191162, 0.6413953304290771, 0.6346466541290283, 0.6252107620239258, 0.6486039161682129, 0.6167287826538086, 0.5968608856201172]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,1,,,"[0.6544551849365234, 0.7961134910583496, 0.6444594860076904, 0.6729705333709717, 0.6436536312103271, 0.6474783420562744, 0.6367990970611572, 0.639970064163208, 0.6357975006103516, 0.6172206401824951, 0.6891574859619141, 0.6601347923278809, 0.6274223327636719, 0.6311676502227783, 0.6354761123657227, 0.6384627819061279, 0.5977966785430908, 0.8318519592285156, 0.6048777103424072]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,2,,,"[0.6219408512115479, 0.7970166206359863, 0.6401796340942383, 0.6224911212921143, 0.6362442970275879, 0.6407012939453125, 0.6896367073059082, 0.6371245384216309, 0.6581602096557617, 0.6718473434448242, 0.6336531639099121, 0.6843717098236084, 0.7884714603424072, 0.8806889057159424, 0.794036865234375, 0.6418838500976562, 0.7262637615203857, 0.6253862380981445, 0.6914627552032471]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,3,,,"[0.6347761154174805, 0.9238877296447754, 0.6409969329833984, 0.6377050876617432, 0.6490213871002197, 0.6669542789459229, 0.6380081176757812, 0.6563949584960938, 0.6222774982452393, 0.6341989040374756, 0.6469912528991699, 0.6257729530334473, 0.6351673603057861, 0.6202452182769775, 0.6092286109924316, 0.6407952308654785, 0.6248817443847656, 0.6306302547454834, 0.6186504364013672]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,4,,,"[0.669074535369873, 0.7626128196716309, 0.6391086578369141, 0.6231241226196289, 0.6231756210327148, 0.7197749614715576, 0.6522507667541504, 0.7471826076507568, 0.7329883575439453, 0.7982072830200195, 0.6869716644287109, 0.6375305652618408, 0.8544280529022217, 0.6973936557769775, 0.5947897434234619, 0.6447033882141113, 0.6409528255462646, 0.6053636074066162, 0.630943775177002]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,5,,,"[0.670745849609375, 0.7584934234619141, 0.8610184192657471, 0.6805694103240967, 0.6312580108642578, 0.6617164611816406, 0.6503257751464844, 0.636878490447998, 0.6603758335113525, 0.6895129680633545, 0.6602072715759277, 0.6285538673400879, 0.6646296977996826, 0.6411433219909668, 0.6303374767303467, 0.6359615325927734, 0.6483995914459229, 0.6498613357543945, 0.5929877758026123]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,6,,,"[0.6594851016998291, 0.813366174697876, 0.6520473957061768, 0.6413674354553223, 0.7162115573883057, 0.7102580070495605, 0.6664068698883057, 0.6364178657531738, 0.6682097911834717, 0.6600015163421631, 0.6268417835235596, 0.6754240989685059, 0.6734142303466797, 0.6781783103942871, 0.6375560760498047, 0.7060811519622803, 0.8076636791229248, 0.8119335174560547, 0.8255302906036377]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,7,,,"[0.6921863555908203, 0.9539227485656738, 0.7955780029296875, 0.6927201747894287, 0.6689651012420654, 0.6858220100402832, 0.6896185874938965, 0.6493942737579346, 0.6705026626586914, 0.652036190032959, 0.6751453876495361, 0.6769084930419922, 0.7010397911071777, 0.6373791694641113, 0.6940469741821289, 0.649712324142456, 0.6502413749694824, 0.6564550399780273, 0.6382176876068115]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,8,,,"[0.6367309093475342, 0.7483415603637695, 0.6912884712219238, 0.6709198951721191, 0.6515161991119385, 0.6822538375854492, 0.6347389221191406, 0.8181953430175781, 0.6741573810577393, 0.660832405090332, 0.6330826282501221, 0.6378531455993652, 0.6565046310424805, 0.6380021572113037, 0.5993449687957764, 0.659656286239624, 0.6137275695800781, 0.6455569267272949, 0.619699239730835]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
digits,model_4layers_20neurons.h5,9,,,"[0.6464812755584717, 0.7453949451446533, 0.8296182155609131, 0.8280410766601562, 0.882716178894043, 0.6742734909057617, 0.802142858505249, 0.8461830615997314, 0.6865043640136719, 0.6474370956420898, 0.6257939338684082, 0.6245660781860352, 0.6636793613433838, 0.631300687789917, 0.6311519145965576, 0.6153843402862549, 0.6280014514923096, 0.6375386714935303, 0.6001789569854736]","[64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64, 64]"
