dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
glass,model_1layers_20neurons.h5,0,,,"[0.2506563663482666, 0.07040667533874512, 0.07165956497192383, 0.07414650917053223, 0.07386231422424316, 0.07565069198608398, 0.07278299331665039, 0.07293295860290527, 0.18835234642028809, 0.08814620971679688]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,1,,,"[0.08694219589233398, 0.0682837963104248, 0.07134032249450684, 0.0699923038482666, 0.08419537544250488, 0.08414626121520996, 0.10363435745239258, 0.08758759498596191, 0.09341311454772949, 0.09927749633789062]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,2,,,"[0.11710023880004883, 0.08377695083618164, 0.07132863998413086, 0.07240438461303711, 0.07473492622375488, 0.08212947845458984, 0.0699300765991211, 0.07710123062133789, 0.07373642921447754, 0.072845458984375]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,3,,,"[0.08411478996276855, 0.07377386093139648, 0.07231450080871582, 0.0767507553100586, 0.2071840763092041, 0.0662682056427002, 0.06989908218383789, 0.08827352523803711, 0.07303643226623535, 0.09298038482666016]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,4,,,"[0.08643007278442383, 0.07680320739746094, 0.07808279991149902, 0.07841825485229492, 0.07681584358215332, 0.08189535140991211, 0.07776355743408203, 0.07531094551086426, 0.08527350425720215, 0.08110857009887695]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,5,,,"[0.07766151428222656, 0.07203531265258789, 0.07015752792358398, 0.06830477714538574, 0.09125423431396484, 0.09219908714294434, 0.07043004035949707, 0.08789229393005371, 0.09827184677124023, 0.07201170921325684]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,6,,,"[0.07960963249206543, 0.07077312469482422, 0.06899881362915039, 0.06986856460571289, 0.07613539695739746, 0.10111165046691895, 0.11238217353820801, 0.0888371467590332, 0.07104635238647461, 0.10877704620361328]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,7,,,"[0.08167076110839844, 0.07678103446960449, 0.08235955238342285, 0.0769798755645752, 0.07565951347351074, 0.07411336898803711, 0.06967616081237793, 0.0794680118560791, 0.07948708534240723, 0.07030725479125977]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,8,,,"[0.07463526725769043, 0.0831899642944336, 0.07592225074768066, 0.07684898376464844, 0.07485651969909668, 0.07422494888305664, 0.07188010215759277, 0.07699394226074219, 0.07038331031799316, 0.07030463218688965]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,9,,,"[0.11930584907531738, 0.09376645088195801, 0.06925177574157715, 0.08120441436767578, 0.10079336166381836, 0.06978464126586914, 0.08609342575073242, 0.07844114303588867, 0.08011984825134277, 0.08565878868103027]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
