dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
glass,model_1layers_20neurons.h5,0,0.0816771984100341,8,"[0.10615062713623047, 0.07953333854675293, 0.10557341575622559, 0.16546082496643066, 0.08572030067443848, 0.08485603332519531, 0.12088441848754883, 0.17221689224243164, 0.10150432586669922, 0.08588767051696777]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,1,0.1349513530731201,6,"[0.09417295455932617, 0.06849145889282227, 0.07811737060546875, 0.08819246292114258, 0.08846211433410645, 0.15557360649108887, 0.11360955238342285, 0.08966493606567383, 0.08572578430175781, 0.08647418022155762]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,2,0.1169931888580322,8,"[0.16570186614990234, 0.14162802696228027, 0.16562461853027344, 0.13357138633728027, 0.11132502555847168, 0.10908126831054688, 0.07261300086975098, 0.09424901008605957, 0.12920165061950684, 0.10547924041748047]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,3,0.2101154327392578,8,"[0.11239910125732422, 0.08949398994445801, 0.11098957061767578, 0.10766148567199707, 0.11331391334533691, 0.08150053024291992, 0.07366752624511719, 0.08060574531555176, 0.10392975807189941, 0.08956766128540039]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,4,0.1125364303588867,6,"[0.1199958324432373, 0.0998077392578125, 0.08720159530639648, 0.08640360832214355, 0.09125041961669922, 0.08272528648376465, 0.08493399620056152, 0.08590292930603027, 0.12357831001281738, 0.09531974792480469]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,5,0.0947513580322265,7,"[0.07370996475219727, 0.08249306678771973, 0.07657980918884277, 0.0773625373840332, 0.09723043441772461, 0.07742476463317871, 0.07233619689941406, 0.07745766639709473, 0.07957267761230469, 0.08083486557006836]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,6,0.0927197933197021,6,"[0.07909154891967773, 0.09662747383117676, 0.11429762840270996, 0.08428335189819336, 0.07306146621704102, 0.10061240196228027, 0.10028719902038574, 0.11079668998718262, 0.08696651458740234, 0.09342145919799805]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,7,0.1204874515533447,6,"[0.08168506622314453, 0.09252095222473145, 0.08776259422302246, 0.07248520851135254, 0.069793701171875, 0.07380461692810059, 0.07419395446777344, 0.06985139846801758, 0.06819534301757812, 0.07246685028076172]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,8,0.2180302143096923,8,"[0.07825660705566406, 0.09107804298400879, 0.09175801277160645, 0.08069849014282227, 0.07317781448364258, 0.0672755241394043, 0.06511759757995605, 0.06670951843261719, 0.06685900688171387, 0.06424689292907715]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,9,0.1199510097503662,6,"[0.08087921142578125, 0.07924771308898926, 0.10652375221252441, 0.07065534591674805, 0.07840347290039062, 0.2600870132446289, 0.07343292236328125, 0.07424426078796387, 0.07141828536987305, 0.07676577568054199]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,10,0.0804784297943115,9,"[0.07904887199401855, 0.08316445350646973, 0.09136700630187988, 0.09515690803527832, 0.07491731643676758, 0.07085776329040527, 0.06438612937927246, 0.0683135986328125, 0.06735014915466309, 0.0667879581451416]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,11,0.0835604667663574,9,"[0.08660578727722168, 0.07725262641906738, 0.0969693660736084, 0.07775688171386719, 0.0725705623626709, 0.0724477767944336, 0.11730217933654785, 0.11900877952575684, 0.10637283325195312, 0.07620453834533691]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
glass,model_1layers_20neurons.h5,12,0.076204776763916,9,"[0.06956648826599121, 0.07103204727172852, 0.07114124298095703, 0.06528377532958984, 0.06404256820678711, 0.06627750396728516, 0.08031177520751953, 0.07969260215759277, 0.061841726303100586, 0.06535482406616211]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
