dataset,modelo,instance,time_milp,len_milp,time_milp_relaxed,len_milp_relaxed
wine,model_1layers_20neurons.h5,0,0.2378716468811035,9,"[0.1481626033782959, 0.15616488456726074, 0.19901609420776367, 0.17368721961975098, 0.18416213989257812, 0.13288068771362305, 0.15022039413452148, 0.1352684497833252, 0.12057614326477051, 0.12654566764831543]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,1,0.2760319709777832,9,"[0.14599084854125977, 0.189009428024292, 0.18250536918640137, 0.16467809677124023, 0.1546642780303955, 0.3293888568878174, 0.17642450332641602, 0.14961910247802734, 0.1502976417541504, 0.19713568687438965]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,2,0.3423805236816406,10,"[0.3001115322113037, 0.20240473747253418, 0.1482560634613037, 0.3204920291900635, 0.3156580924987793, 0.12795305252075195, 0.14394760131835938, 0.1378786563873291, 0.12314319610595703, 0.1282973289489746]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,3,0.4002518653869629,8,"[0.12441253662109375, 0.145674467086792, 0.12981390953063965, 0.13121557235717773, 0.12820768356323242, 0.16510462760925293, 0.14099502563476562, 0.157562255859375, 0.15891289710998535, 0.12991619110107422]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,4,0.6410267353057861,8,"[0.15812969207763672, 0.11698722839355469, 0.1900160312652588, 0.23172211647033691, 0.14177727699279785, 0.11675095558166504, 0.14914488792419434, 0.142120361328125, 0.36107778549194336, 0.11391401290893555]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,5,0.2139911651611328,9,"[0.14819717407226562, 0.20244646072387695, 0.13919281959533691, 0.1616361141204834, 0.13193035125732422, 0.14272332191467285, 0.11649370193481445, 0.11083769798278809, 0.1380448341369629, 0.2421097755432129]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,6,0.1609866619110107,10,"[0.14758968353271484, 0.12831974029541016, 0.12209033966064453, 0.39412784576416016, 0.20105719566345215, 0.2921276092529297, 0.14863300323486328, 0.2162487506866455, 0.31922411918640137, 0.24767827987670898]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,7,0.1418135166168213,10,"[0.10971808433532715, 0.11628007888793945, 0.11055445671081543, 0.11139082908630371, 0.11117076873779297, 0.14674878120422363, 0.10973691940307617, 0.1116487979888916, 0.11168742179870605, 0.11374092102050781]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,8,0.1428282260894775,11,"[0.1425008773803711, 0.12885451316833496, 0.15877532958984375, 0.18342065811157227, 0.14246749877929688, 0.11313009262084961, 0.12895441055297852, 0.12488842010498047, 0.11942529678344727, 0.11101078987121582]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
wine,model_1layers_20neurons.h5,9,0.1611783504486084,9,"[0.11893033981323242, 0.12255430221557617, 0.18927335739135742, 0.17703604698181152, 0.17490458488464355, 0.15431690216064453, 0.15596652030944824, 0.15975356101989746, 0.159196138381958, 0.13097620010375977]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]"
