dataset,modelo,instance,relaxed_time_milp_relaxed,relaxed_len_milp_relaxed,relaxed_explanation
iris,model_2layers_20neurons.h5,0,0.0641839504241943,3,"{'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}"
iris,model_2layers_20neurons.h5,1,0.0817558765411377,3,"{'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}"
iris,model_2layers_20neurons.h5,2,0.0734155178070068,3,"{'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}"
iris,model_2layers_20neurons.h5,3,0.0636334419250488,3,"{'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}"
iris,model_2layers_20neurons.h5,4,0.0778226852416992,4,"{'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}"
iris,model_2layers_20neurons.h5,5,0.0784187316894531,3,"{'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}"
iris,model_2layers_20neurons.h5,6,0.0578734874725341,3,"{'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}"
iris,model_2layers_20neurons.h5,7,0.0749125480651855,4,"{'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}"
iris,model_2layers_20neurons.h5,8,0.0578317642211914,4,"{'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}"
iris,model_2layers_20neurons.h5,9,0.0638725757598877,3,"{'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}"
iris,model_2layers_20neurons.h5,10,0.0776741504669189,4,"{'x_0': 0.5625, 'x_1': 0.625, 'x_2': 0.6785714285714284, 'x_3': 0.8636363636363638}"
iris,model_2layers_20neurons.h5,11,0.0759127140045166,2,"{'x_2': 0.0178571428571428, 'x_3': 0.0}"
iris,model_2layers_20neurons.h5,12,0.0699999332427978,2,"{'x_2': 0.0, 'x_3': 0.0454545454545454}"
iris,model_2layers_20neurons.h5,13,0.1284608840942382,2,"{'x_2': 0.0357142857142856, 'x_3': 0.0}"
iris,model_2layers_20neurons.h5,14,0.0663743019104003,3,"{'x_1': 1.0, 'x_2': 0.0357142857142856, 'x_3': 0.0909090909090909}"
iris,model_2layers_20neurons.h5,15,0.0542287826538085,3,"{'x_1': 0.6875, 'x_2': 0.6071428571428571, 'x_3': 0.681818181818182}"
iris,model_2layers_20neurons.h5,16,0.0896613597869873,4,"{'x_0': 0.5625, 'x_1': 0.5, 'x_2': 0.8035714285714285, 'x_3': 0.9545454545454548}"
iris,model_2layers_20neurons.h5,17,0.0580816268920898,3,"{'x_1': 0.1874999999999997, 'x_2': 0.4642857142857142, 'x_3': 0.4545454545454546}"
iris,model_2layers_20neurons.h5,18,0.0640850067138671,3,"{'x_1': 0.3749999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.5454545454545455}"
iris,model_2layers_20neurons.h5,19,0.0703547000885009,4,"{'x_0': 0.53125, 'x_1': 0.3749999999999998, 'x_2': 0.7678571428571427, 'x_3': 0.9545454545454548}"
iris,model_2layers_20neurons.h5,20,0.0771489143371582,3,"{'x_1': 0.625, 'x_2': 0.0535714285714285, 'x_3': 0.0454545454545454}"
iris,model_2layers_20neurons.h5,21,0.0518147945404052,4,"{'x_0': 0.4375, 'x_1': 0.5, 'x_2': 0.6428571428571429, 'x_3': 0.7727272727272728}"
