dataset,modelo,instance,relaxed_layer_0_time_milp_relaxed,relaxed_layer_0_len_milp_relaxed,relaxed_layer_0_explanation
glass,model_1layers_20neurons.h5,0,0.0931251049041748,8,"{'x_0': 0.4513704686118416, 'x_1': 0.458498023715415, 'x_2': 0.8129175946547883, 'x_3': 0.1806853582554517, 'x_5': 0.0305958132045088, 'x_6': 0.4107806691449813, 'x_7': 0.0, 'x_8': 0.3333333333333333}"
glass,model_1layers_20neurons.h5,1,0.0990381240844726,6,"{'x_2': 0.0, 'x_3': 0.1433021806853582, 'x_4': 0.6089385474860318, 'x_5': 0.0, 'x_6': 0.8856877323420074, 'x_7': 0.0}"
glass,model_1layers_20neurons.h5,2,0.0713646411895752,8,"{'x_0': 0.2117595048629539, 'x_2': 0.7572383073496659, 'x_3': 0.2897196261682243, 'x_4': 0.5363128491620088, 'x_5': 0.0950080515297906, 'x_6': 0.2685873605947955, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,3,0.0919711589813232,8,"{'x_0': 0.3138815207780681, 'x_1': 0.4525691699604741, 'x_2': 0.8062360801781737, 'x_3': 0.2398753894080997, 'x_5': 0.1030595813204508, 'x_6': 0.3438661710037175, 'x_7': 0.0, 'x_8': 0.2941176470588235}"
glass,model_1layers_20neurons.h5,4,0.2770092487335205,6,"{'x_2': 0.8507795100222716, 'x_3': 0.0560747663551401, 'x_5': 0.0177133655394524, 'x_6': 0.3847583643122676, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,5,0.1269745826721191,7,"{'x_0': 0.2603890362511123, 'x_2': 0.7795100222717148, 'x_3': 0.2679127725856697, 'x_5': 0.0805152979066022, 'x_6': 0.278810408921933, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,6,0.2792508602142334,6,"{'x_2': 0.7928730512249442, 'x_3': 0.4205607476635513, 'x_4': 0.6201117318435738, 'x_5': 0.1046698872785829, 'x_6': 0.2379182156133829, 'x_7': 0.0}"
glass,model_1layers_20neurons.h5,7,0.1418285369873047,6,"{'x_2': 0.0, 'x_3': 0.1183800623052959, 'x_4': 0.4115456238361243, 'x_5': 0.0096618357487922, 'x_6': 0.8336431226765797, 'x_7': 0.0}"
glass,model_1layers_20neurons.h5,8,0.096337080001831,8,"{'x_0': 0.2886825817860341, 'x_1': 0.4644268774703555, 'x_2': 0.77728285077951, 'x_3': 0.308411214953271, 'x_5': 0.0966183574879227, 'x_6': 0.2843866171003717, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,9,0.1355416774749755,6,"{'x_2': 0.7884187082405345, 'x_3': 0.4361370716510903, 'x_4': 0.5437616387337041, 'x_5': 0.0869565217391304, 'x_6': 0.2797397769516727, 'x_7': 0.0}"
glass,model_1layers_20neurons.h5,10,0.0846729278564453,9,"{'x_0': 0.5234305923961102, 'x_1': 0.5355731225296441, 'x_2': 0.7438752783964364, 'x_3': 0.2928348909657321, 'x_4': 0.4785847299813763, 'x_5': 0.0966183574879227, 'x_6': 0.315985130111524, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,11,0.0836923122406005,9,"{'x_0': 0.3138815207780681, 'x_1': 0.4347826086956519, 'x_2': 0.8329621380846325, 'x_3': 0.2554517133956386, 'x_4': 0.4599627560521409, 'x_5': 0.1030595813204508, 'x_6': 0.3280669144981413, 'x_7': 0.0, 'x_8': 0.4313725490196078}"
glass,model_1layers_20neurons.h5,12,0.0776460170745849,9,"{'x_0': 0.4031830238726712, 'x_1': 0.5237154150197627, 'x_2': 0.0, 'x_3': 0.3457943925233644, 'x_4': 0.4543761638733699, 'x_5': 0.0531400966183574, 'x_6': 0.6570631970260221, 'x_7': 0.0, 'x_8': 0.0}"
glass,model_1layers_20neurons.h5,13,0.0795495510101318,7,"{'x_1': 0.4960474308300395, 'x_2': 0.7438752783964364, 'x_3': 0.3676012461059189, 'x_4': 0.6126629422718786, 'x_5': 0.0628019323671497, 'x_6': 0.2592936802973977, 'x_7': 0.0}"
glass,model_1layers_20neurons.h5,14,0.1296062469482422,6,"{'x_2': 0.8040089086859687, 'x_3': 0.4143302180685357, 'x_4': 0.5884543761638721, 'x_6': 0.2453531598513011, 'x_7': 0.0, 'x_8': 0.5098039215686274}"
