dataset,modelo,instance,relaxed_layer_0_time_milp_relaxed,relaxed_layer_0_len_milp_relaxed,relaxed_layer_0_explanation
iris,model_1layers_20neurons.h5,0,0.0459845066070556,3,"{'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}"
iris,model_1layers_20neurons.h5,1,0.0429422855377197,3,"{'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}"
iris,model_1layers_20neurons.h5,2,0.049056053161621,2,"{'x_2': 1.0, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,3,0.0373182296752929,4,"{'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}"
iris,model_1layers_20neurons.h5,4,0.0395445823669433,4,"{'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}"
iris,model_1layers_20neurons.h5,5,0.0374073982238769,3,"{'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}"
iris,model_1layers_20neurons.h5,6,0.0459074974060058,3,"{'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}"
iris,model_1layers_20neurons.h5,7,0.0471415519714355,3,"{'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,8,0.0386641025543212,4,"{'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}"
iris,model_1layers_20neurons.h5,9,0.0392649173736572,3,"{'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}"
iris,model_1layers_20neurons.h5,10,0.0382654666900634,3,"{'x_1': 0.625, 'x_2': 0.6785714285714284, 'x_3': 0.8636363636363638}"
iris,model_1layers_20neurons.h5,11,0.0361008644104003,3,"{'x_1': 0.5, 'x_2': 0.0178571428571428, 'x_3': 0.0}"
iris,model_1layers_20neurons.h5,12,0.0369820594787597,3,"{'x_1': 0.8125, 'x_2': 0.0, 'x_3': 0.0454545454545454}"
iris,model_1layers_20neurons.h5,13,0.037447452545166,3,"{'x_1': 0.5625, 'x_2': 0.0357142857142856, 'x_3': 0.0}"
iris,model_1layers_20neurons.h5,14,0.0452005863189697,2,"{'x_1': 1.0, 'x_2': 0.0357142857142856}"
iris,model_1layers_20neurons.h5,15,0.0371870994567871,3,"{'x_1': 0.6875, 'x_2': 0.6071428571428571, 'x_3': 0.681818181818182}"
iris,model_1layers_20neurons.h5,16,0.0395953655242919,3,"{'x_1': 0.5, 'x_2': 0.8035714285714285, 'x_3': 0.9545454545454548}"
iris,model_1layers_20neurons.h5,17,0.0404481887817382,3,"{'x_1': 0.1874999999999997, 'x_2': 0.4642857142857142, 'x_3': 0.4545454545454546}"
iris,model_1layers_20neurons.h5,18,0.0373401641845703,3,"{'x_1': 0.3749999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.5454545454545455}"
iris,model_1layers_20neurons.h5,19,0.0398421287536621,3,"{'x_1': 0.3749999999999998, 'x_2': 0.7678571428571427, 'x_3': 0.9545454545454548}"
iris,model_1layers_20neurons.h5,20,0.0454552173614501,3,"{'x_1': 0.625, 'x_2': 0.0535714285714285, 'x_3': 0.0454545454545454}"
iris,model_1layers_20neurons.h5,21,0.0366570949554443,4,"{'x_0': 0.4375, 'x_1': 0.5, 'x_2': 0.6428571428571429, 'x_3': 0.7727272727272728}"
iris,model_1layers_20neurons.h5,22,0.0376462936401367,3,"{'x_1': 0.75, 'x_2': 0.0535714285714285, 'x_3': 0.1363636363636363}"
iris,model_1layers_20neurons.h5,23,0.0465528964996337,3,"{'x_1': 0.3749999999999998, 'x_2': 0.7678571428571427, 'x_3': 0.9090909090909092}"
iris,model_1layers_20neurons.h5,24,0.0425095558166503,3,"{'x_0': 1.0, 'x_2': 0.9107142857142856, 'x_3': 0.8636363636363638}"
iris,model_1layers_20neurons.h5,25,0.046166181564331,3,"{'x_1': 0.5, 'x_2': 0.6964285714285714, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,26,0.0493218898773193,3,"{'x_1': 0.1874999999999997, 'x_2': 0.8035714285714285, 'x_3': 0.7727272727272728}"
iris,model_1layers_20neurons.h5,27,0.048107624053955,2,"{'x_2': 0.8214285714285715, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,28,0.0349485874176025,3,"{'x_1': 0.5, 'x_2': 0.0178571428571428, 'x_3': 0.0909090909090909}"
iris,model_1layers_20neurons.h5,29,0.0351643562316894,3,"{'x_1': 0.5625, 'x_2': 0.0535714285714285, 'x_3': 0.0454545454545454}"
iris,model_1layers_20neurons.h5,30,0.0349946022033691,3,"{'x_1': 0.6666666666666667, 'x_2': 0.0, 'x_3': 0.0416666666666666}"
iris,model_1layers_20neurons.h5,31,0.0376899242401123,3,"{'x_1': 1.0, 'x_2': 0.087719298245614, 'x_3': 0.125}"
iris,model_1layers_20neurons.h5,32,0.050513744354248,3,"{'x_1': 0.4583333333333332, 'x_2': 0.5964912280701755, 'x_3': 0.5416666666666667}"
iris,model_1layers_20neurons.h5,33,0.0378658771514892,3,"{'x_1': 0.5833333333333333, 'x_2': 0.1052631578947368, 'x_3': 0.0416666666666666}"
iris,model_1layers_20neurons.h5,34,0.0399913787841796,3,"{'x_1': 0.5, 'x_2': 0.0526315789473684, 'x_3': 0.0416666666666666}"
