dataset,modelo,instance,relaxed_layer_1_time_milp_relaxed,relaxed_layer_1_len_milp_relaxed,relaxed_layer_1_explanation
digits,model_2layers_20neurons.h5,0,0.8205170631408691,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.5, 'x_3': 1.0, 'x_4': 1.0, 'x_5': 0.75, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.0, 'x_10': 0.875, 'x_11': 0.75, 'x_12': 0.625, 'x_13': 0.875, 'x_14': 0.0, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.0, 'x_18': 0.1875, 'x_19': 0.1875, 'x_20': 0.625, 'x_21': 0.625, 'x_22': 0.0, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.0, 'x_26': 0.0, 'x_27': 0.5, 'x_28': 1.0, 'x_29': 0.3125, 'x_30': 0.0, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.0, 'x_34': 0.0, 'x_35': 0.4375, 'x_36': 1.0, 'x_37': 0.375, 'x_38': 0.0, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.0, 'x_42': 0.25, 'x_43': 0.0, 'x_44': 0.4375, 'x_45': 0.875, 'x_46': 0.0, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.125, 'x_50': 1.0, 'x_51': 0.3125, 'x_52': 0.625, 'x_53': 1.0, 'x_54': 0.0, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.4375, 'x_59': 1.0, 'x_60': 1.0, 'x_61': 0.4375, 'x_62': 0.0, 'x_63': 0.0}"
digits,model_2layers_20neurons.h5,1,0.5113241672515869,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.25, 'x_3': 0.75, 'x_4': 1.0, 'x_5': 0.75, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.3125, 'x_10': 1.0, 'x_11': 0.5, 'x_12': 0.25, 'x_13': 0.75, 'x_14': 0.125, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.75, 'x_18': 0.375, 'x_19': 0.0, 'x_20': 0.0, 'x_21': 0.8125, 'x_22': 0.25, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.4, 'x_26': 1.0, 'x_27': 0.8125, 'x_28': 1.0, 'x_29': 1.0, 'x_30': 0.4666666666666667, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.0, 'x_34': 0.1875, 'x_35': 0.25, 'x_36': 0.0625, 'x_37': 0.5, 'x_38': 0.5714285714285714, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.0, 'x_42': 0.0, 'x_43': 0.0, 'x_44': 0.0, 'x_45': 0.25, 'x_46': 0.75, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.0, 'x_50': 0.5, 'x_51': 0.5625, 'x_52': 0.125, 'x_53': 0.5625, 'x_54': 0.5625, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.125, 'x_59': 0.8125, 'x_60': 1.0, 'x_61': 0.9375, 'x_62': 0.1875, 'x_63': 0.0}"
digits,model_2layers_20neurons.h5,2,0.4956538677215576,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.0, 'x_3': 0.8125, 'x_4': 0.9375, 'x_5': 0.5, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.0, 'x_10': 0.0625, 'x_11': 1.0, 'x_12': 1.0, 'x_13': 0.625, 'x_14': 0.0, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.0, 'x_18': 0.0625, 'x_19': 1.0, 'x_20': 1.0, 'x_21': 0.5, 'x_22': 0.0, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.0, 'x_26': 0.25, 'x_27': 1.0, 'x_28': 1.0, 'x_29': 0.125, 'x_30': 0.0, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.0, 'x_34': 0.6875, 'x_35': 1.0, 'x_36': 0.875, 'x_37': 0.0, 'x_38': 0.0, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.125, 'x_42': 1.0, 'x_43': 1.0, 'x_44': 0.625, 'x_45': 0.0, 'x_46': 0.0, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.0, 'x_50': 0.8125, 'x_51': 1.0, 'x_52': 0.9375, 'x_53': 0.125, 'x_54': 0.0, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.0625, 'x_59': 0.8125, 'x_60': 1.0, 'x_61': 0.25, 'x_62': 0.0, 'x_63': 0.0}"
digits,model_2layers_20neurons.h5,3,0.5304923057556152,64,"{'x_0': 0.0, 'x_1': 0.125, 'x_2': 0.5625, 'x_3': 0.9375, 'x_4': 1.0, 'x_5': 0.5625, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.375, 'x_10': 0.75, 'x_11': 0.0625, 'x_12': 0.125, 'x_13': 1.0, 'x_14': 0.0, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.0, 'x_18': 0.0625, 'x_19': 0.0, 'x_20': 0.5, 'x_21': 0.875, 'x_22': 0.0, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.0, 'x_26': 0.0, 'x_27': 0.625, 'x_28': 0.9375, 'x_29': 0.1875, 'x_30': 0.0, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.0, 'x_34': 0.0, 'x_35': 0.4375, 'x_36': 0.9375, 'x_37': 0.3125, 'x_38': 0.0, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.0, 'x_42': 0.0, 'x_43': 0.0, 'x_44': 0.25, 'x_45': 0.8125, 'x_46': 0.125, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.125, 'x_50': 0.4375, 'x_51': 0.25, 'x_52': 0.25, 'x_53': 0.875, 'x_54': 0.1875, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.5625, 'x_59': 1.0, 'x_60': 1.0, 'x_61': 0.625, 'x_62': 0.0, 'x_63': 0.0}"
digits,model_2layers_20neurons.h5,4,0.5291299819946289,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.0, 'x_3': 0.875, 'x_4': 0.5625, 'x_5': 0.0, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.0, 'x_10': 0.0, 'x_11': 0.875, 'x_12': 0.8125, 'x_13': 0.0, 'x_14': 0.0, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.0, 'x_18': 0.0, 'x_19': 0.6875, 'x_20': 1.0, 'x_21': 0.125, 'x_22': 0.0, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.0, 'x_26': 0.0, 'x_27': 0.875, 'x_28': 1.0, 'x_29': 0.3125, 'x_30': 0.0, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.0, 'x_34': 0.0, 'x_35': 0.8125, 'x_36': 1.0, 'x_37': 0.25, 'x_38': 0.0, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.0, 'x_42': 0.0, 'x_43': 1.0, 'x_44': 1.0, 'x_45': 0.25, 'x_46': 0.0, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.0, 'x_50': 0.0625, 'x_51': 1.0, 'x_52': 1.0, 'x_53': 0.0, 'x_54': 0.0, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.0, 'x_59': 0.875, 'x_60': 0.75, 'x_61': 0.0, 'x_62': 0.0, 'x_63': 0.0}"
digits,model_2layers_20neurons.h5,5,0.5237877368927002,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.4375, 'x_3': 0.8125, 'x_4': 0.25, 'x_5': 0.0625, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.0625, 'x_10': 0.9375, 'x_11': 0.8125, 'x_12': 0.9375, 'x_13': 0.6875, 'x_14': 0.0, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.4375, 'x_18': 1.0, 'x_19': 0.0625, 'x_20': 0.8125, 'x_21': 1.0, 'x_22': 0.25, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.2, 'x_26': 1.0, 'x_27': 0.75, 'x_28': 1.0, 'x_29': 1.0, 'x_30': 0.4666666666666667, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.0, 'x_34': 0.25, 'x_35': 0.6875, 'x_36': 0.3125, 'x_37': 1.0, 'x_38': 0.5714285714285714, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.0, 'x_42': 0.0, 'x_43': 0.0, 'x_44': 0.125, 'x_45': 1.0, 'x_46': 0.3125, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.0, 'x_50': 0.75, 'x_51': 0.375, 'x_52': 0.5625, 'x_53': 0.875, 'x_54': 0.0625, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.375, 'x_59': 0.8125, 'x_60': 1.0, 'x_61': 0.3125, 'x_62': 0.0, 'x_63': 0.0}"
digits,model_2layers_20neurons.h5,6,0.55021071434021,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.1875, 'x_3': 0.9375, 'x_4': 0.375, 'x_5': 0.0, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.0, 'x_10': 0.5625, 'x_11': 0.8125, 'x_12': 0.0625, 'x_13': 0.375, 'x_14': 0.5625, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.1875, 'x_18': 1.0, 'x_19': 0.1875, 'x_20': 0.375, 'x_21': 0.9375, 'x_22': 0.3125, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.4666666666666667, 'x_26': 0.9375, 'x_27': 0.0625, 'x_28': 0.875, 'x_29': 0.5625, 'x_30': 0.3333333333333333, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.7142857142857142, 'x_34': 0.8125, 'x_35': 0.5625, 'x_36': 1.0, 'x_37': 0.9375, 'x_38': 0.5, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.4375, 'x_42': 1.0, 'x_43': 1.0, 'x_44': 0.6875, 'x_45': 0.25, 'x_46': 0.0, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.0, 'x_50': 0.1875, 'x_51': 1.0, 'x_52': 0.3125, 'x_53': 0.0, 'x_54': 0.0, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.25, 'x_59': 1.0, 'x_60': 0.1875, 'x_61': 0.0, 'x_62': 0.0, 'x_63': 0.0}"
digits,model_2layers_20neurons.h5,7,0.6184959411621094,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.0, 'x_3': 0.625, 'x_4': 0.375, 'x_5': 0.0, 'x_6': 0.625, 'x_7': 0.9333333333333332, 'x_8': 0.0, 'x_9': 0.0, 'x_10': 0.4375, 'x_11': 0.9375, 'x_12': 0.125, 'x_13': 0.4375, 'x_14': 0.875, 'x_15': 0.0833333333333333, 'x_16': 0.0, 'x_17': 0.0, 'x_18': 0.9375, 'x_19': 0.5625, 'x_20': 0.0625, 'x_21': 0.9375, 'x_22': 0.75, 'x_23': 0.25, 'x_24': 0.0, 'x_25': 0.2666666666666666, 'x_26': 1.0, 'x_27': 0.625, 'x_28': 0.6875, 'x_29': 1.0, 'x_30': 0.8, 'x_31': 1.0, 'x_32': 0.0, 'x_33': 0.1428571428571428, 'x_34': 1.0, 'x_35': 1.0, 'x_36': 1.0, 'x_37': 0.5625, 'x_38': 0.0, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.0, 'x_42': 0.3125, 'x_43': 0.75, 'x_44': 0.625, 'x_45': 0.0, 'x_46': 0.0, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.0, 'x_50': 0.0, 'x_51': 0.8125, 'x_52': 0.3125, 'x_53': 0.0, 'x_54': 0.0, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.0, 'x_59': 0.9375, 'x_60': 0.1875, 'x_61': 0.0, 'x_62': 0.0, 'x_63': 0.0}"
digits,model_2layers_20neurons.h5,8,0.5309422016143799,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.4375, 'x_3': 0.9375, 'x_4': 0.8125, 'x_5': 0.0, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.5625, 'x_10': 1.0, 'x_11': 0.9375, 'x_12': 1.0, 'x_13': 0.3125, 'x_14': 0.0, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.75, 'x_18': 1.0, 'x_19': 0.3125, 'x_20': 0.9375, 'x_21': 0.375, 'x_22': 0.0, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.0, 'x_26': 0.4375, 'x_27': 0.125, 'x_28': 0.8125, 'x_29': 0.5625, 'x_30': 0.0, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.0, 'x_34': 0.0, 'x_35': 0.0625, 'x_36': 1.0, 'x_37': 0.4375, 'x_38': 0.0, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.0, 'x_42': 0.0, 'x_43': 0.375, 'x_44': 1.0, 'x_45': 0.25, 'x_46': 0.0, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.0, 'x_50': 0.0625, 'x_51': 0.9375, 'x_52': 1.0, 'x_53': 0.75, 'x_54': 0.9375, 'x_55': 0.5384615384615385, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.3125, 'x_59': 1.0, 'x_60': 0.875, 'x_61': 0.75, 'x_62': 0.75, 'x_63': 0.6875}"
digits,model_2layers_20neurons.h5,9,0.5888247489929199,64,"{'x_0': 0.0, 'x_1': 0.0, 'x_2': 0.125, 'x_3': 0.8125, 'x_4': 0.8125, 'x_5': 0.0625, 'x_6': 0.0, 'x_7': 0.0, 'x_8': 0.0, 'x_9': 0.0, 'x_10': 0.5, 'x_11': 1.0, 'x_12': 0.875, 'x_13': 0.25, 'x_14': 0.0, 'x_15': 0.0, 'x_16': 0.0, 'x_17': 0.0, 'x_18': 0.3125, 'x_19': 1.0, 'x_20': 0.625, 'x_21': 0.5, 'x_22': 0.25, 'x_23': 0.0, 'x_24': 0.0, 'x_25': 0.0, 'x_26': 0.0625, 'x_27': 1.0, 'x_28': 1.0, 'x_29': 0.625, 'x_30': 0.1333333333333333, 'x_31': 0.0, 'x_32': 0.0, 'x_33': 0.1428571428571428, 'x_34': 0.9375, 'x_35': 0.8125, 'x_36': 0.75, 'x_37': 0.0, 'x_38': 0.0, 'x_39': 0.0, 'x_40': 0.0, 'x_41': 0.3125, 'x_42': 0.75, 'x_43': 0.1875, 'x_44': 0.9375, 'x_45': 0.0625, 'x_46': 0.0, 'x_47': 0.0, 'x_48': 0.0, 'x_49': 0.0, 'x_50': 0.875, 'x_51': 0.1875, 'x_52': 0.8125, 'x_53': 0.25, 'x_54': 0.0, 'x_55': 0.0, 'x_56': 0.0, 'x_57': 0.0, 'x_58': 0.1875, 'x_59': 0.9375, 'x_60': 0.8125, 'x_61': 0.0625, 'x_62': 0.0, 'x_63': 0.0}"
