dataset,modelo,instance,original_time_milp,original_len_milp,original_explanation,relaxed_time_milp_relaxed,relaxed_len_milp_relaxed,relaxed_explanation
iris,model_1layers_20neurons.h5,0,0.0453546047210693,3,"{'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}",0.0607256889343261,4,"{'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}"
iris,model_1layers_20neurons.h5,1,0.0348470211029052,3,"{'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}",0.0524957180023193,3,"{'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}"
iris,model_1layers_20neurons.h5,2,0.0614326000213623,2,"{'x_2': 1.0, 'x_3': 1.0}",0.0693285465240478,4,"{'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,3,0.0390985012054443,4,"{'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}",0.070634126663208,4,"{'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}"
iris,model_1layers_20neurons.h5,4,0.0328555107116699,4,"{'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}",0.0589747428894043,4,"{'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}"
iris,model_1layers_20neurons.h5,5,0.0352232456207275,3,"{'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}",0.0519261360168457,3,"{'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}"
iris,model_1layers_20neurons.h5,6,0.0433020591735839,3,"{'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}",0.057837963104248,4,"{'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}"
iris,model_1layers_20neurons.h5,7,0.0467619895935058,3,"{'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}",0.0494310855865478,4,"{'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,8,0.0354499816894531,4,"{'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}",0.0506060123443603,4,"{'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}"
iris,model_1layers_20neurons.h5,9,0.03759765625,3,"{'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}",0.0706896781921386,4,"{'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}"
iris,model_1layers_20neurons.h5,10,0.0383942127227783,3,"{'x_1': 0.625, 'x_2': 0.6785714285714284, 'x_3': 0.8636363636363638}",0.0562419891357421,4,"{'x_0': 0.5625, 'x_1': 0.625, 'x_2': 0.6785714285714284, 'x_3': 0.8636363636363638}"
iris,model_1layers_20neurons.h5,11,0.0350472927093505,3,"{'x_1': 0.5, 'x_2': 0.0178571428571428, 'x_3': 0.0}",0.0567514896392822,3,"{'x_1': 0.5, 'x_2': 0.0178571428571428, 'x_3': 0.0}"
iris,model_1layers_20neurons.h5,12,0.0356092453002929,3,"{'x_1': 0.8125, 'x_2': 0.0, 'x_3': 0.0454545454545454}",0.0573744773864746,3,"{'x_1': 0.8125, 'x_2': 0.0, 'x_3': 0.0454545454545454}"
iris,model_1layers_20neurons.h5,13,0.0355665683746337,3,"{'x_1': 0.5625, 'x_2': 0.0357142857142856, 'x_3': 0.0}",0.0624434947967529,3,"{'x_1': 0.5625, 'x_2': 0.0357142857142856, 'x_3': 0.0}"
iris,model_1layers_20neurons.h5,14,0.0333218574523925,2,"{'x_1': 1.0, 'x_2': 0.0357142857142856}",0.0537679195404052,3,"{'x_1': 1.0, 'x_2': 0.0357142857142856, 'x_3': 0.0909090909090909}"
iris,model_1layers_20neurons.h5,15,0.0338470935821533,3,"{'x_1': 0.6875, 'x_2': 0.6071428571428571, 'x_3': 0.681818181818182}",0.0511815547943115,4,"{'x_0': 0.5, 'x_1': 0.6875, 'x_2': 0.6071428571428571, 'x_3': 0.681818181818182}"
iris,model_1layers_20neurons.h5,16,0.0374271869659423,3,"{'x_1': 0.5, 'x_2': 0.8035714285714285, 'x_3': 0.9545454545454548}",0.054307222366333,4,"{'x_0': 0.5625, 'x_1': 0.5, 'x_2': 0.8035714285714285, 'x_3': 0.9545454545454548}"
iris,model_1layers_20neurons.h5,17,0.0351076126098632,3,"{'x_1': 0.1874999999999997, 'x_2': 0.4642857142857142, 'x_3': 0.4545454545454546}",0.061547040939331,4,"{'x_0': 0.28125, 'x_1': 0.1874999999999997, 'x_2': 0.4642857142857142, 'x_3': 0.4545454545454546}"
iris,model_1layers_20neurons.h5,18,0.0354878902435302,3,"{'x_1': 0.3749999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.5454545454545455}",0.0582973957061767,4,"{'x_0': 0.3125, 'x_1': 0.3749999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.5454545454545455}"
iris,model_1layers_20neurons.h5,19,0.0365822315216064,3,"{'x_1': 0.3749999999999998, 'x_2': 0.7678571428571427, 'x_3': 0.9545454545454548}",0.0514070987701416,4,"{'x_0': 0.53125, 'x_1': 0.3749999999999998, 'x_2': 0.7678571428571427, 'x_3': 0.9545454545454548}"
iris,model_1layers_20neurons.h5,20,0.03448486328125,3,"{'x_1': 0.625, 'x_2': 0.0535714285714285, 'x_3': 0.0454545454545454}",0.0599169731140136,3,"{'x_1': 0.625, 'x_2': 0.0535714285714285, 'x_3': 0.0454545454545454}"
iris,model_1layers_20neurons.h5,21,0.0337166786193847,4,"{'x_0': 0.4375, 'x_1': 0.5, 'x_2': 0.6428571428571429, 'x_3': 0.7727272727272728}",0.0475459098815918,4,"{'x_0': 0.4375, 'x_1': 0.5, 'x_2': 0.6428571428571429, 'x_3': 0.7727272727272728}"
