dataset,modelo,instance,original_time_milp,original_len_milp,original_explanation
iris,model_1layers_20neurons.h5,0,0.040933609008789,3,"{'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}"
iris,model_1layers_20neurons.h5,1,0.0545017719268798,3,"{'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}"
iris,model_1layers_20neurons.h5,2,0.0465767383575439,2,"{'x_2': 1.0, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,3,0.0362884998321533,4,"{'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}"
iris,model_1layers_20neurons.h5,4,0.0444648265838623,4,"{'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}"
iris,model_1layers_20neurons.h5,5,0.0343580245971679,3,"{'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}"
iris,model_1layers_20neurons.h5,6,0.0481605529785156,3,"{'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}"
iris,model_1layers_20neurons.h5,7,0.0576879978179931,3,"{'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,8,0.0347719192504882,4,"{'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}"
iris,model_1layers_20neurons.h5,9,0.1190991401672363,3,"{'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}"
iris,model_1layers_20neurons.h5,10,0.03729248046875,3,"{'x_1': 0.625, 'x_2': 0.6785714285714284, 'x_3': 0.8636363636363638}"
iris,model_1layers_20neurons.h5,11,0.0391919612884521,3,"{'x_1': 0.5, 'x_2': 0.0178571428571428, 'x_3': 0.0}"
iris,model_1layers_20neurons.h5,12,0.0333530902862548,3,"{'x_1': 0.8125, 'x_2': 0.0, 'x_3': 0.0454545454545454}"
iris,model_1layers_20neurons.h5,13,0.0350632667541503,3,"{'x_1': 0.5625, 'x_2': 0.0357142857142856, 'x_3': 0.0}"
iris,model_1layers_20neurons.h5,14,0.0350203514099121,2,"{'x_1': 1.0, 'x_2': 0.0357142857142856}"
iris,model_1layers_20neurons.h5,15,0.0365035533905029,3,"{'x_1': 0.6875, 'x_2': 0.6071428571428571, 'x_3': 0.681818181818182}"
iris,model_1layers_20neurons.h5,16,0.036672830581665,3,"{'x_1': 0.5, 'x_2': 0.8035714285714285, 'x_3': 0.9545454545454548}"
iris,model_1layers_20neurons.h5,17,0.0343194007873535,3,"{'x_1': 0.1874999999999997, 'x_2': 0.4642857142857142, 'x_3': 0.4545454545454546}"
iris,model_1layers_20neurons.h5,18,0.0354328155517578,3,"{'x_1': 0.3749999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.5454545454545455}"
iris,model_1layers_20neurons.h5,19,0.0366065502166748,3,"{'x_1': 0.3749999999999998, 'x_2': 0.7678571428571427, 'x_3': 0.9545454545454548}"
iris,model_1layers_20neurons.h5,20,0.0367200374603271,3,"{'x_1': 0.625, 'x_2': 0.0535714285714285, 'x_3': 0.0454545454545454}"
iris,model_1layers_20neurons.h5,21,0.0361192226409912,4,"{'x_0': 0.4375, 'x_1': 0.5, 'x_2': 0.6428571428571429, 'x_3': 0.7727272727272728}"
iris,model_1layers_20neurons.h5,22,0.0429155826568603,3,"{'x_1': 0.75, 'x_2': 0.0535714285714285, 'x_3': 0.1363636363636363}"
iris,model_1layers_20neurons.h5,23,0.0454380512237548,3,"{'x_1': 0.3749999999999998, 'x_2': 0.7678571428571427, 'x_3': 0.9090909090909092}"
iris,model_1layers_20neurons.h5,24,0.0379652976989746,3,"{'x_0': 1.0, 'x_2': 0.9107142857142856, 'x_3': 0.8636363636363638}"
iris,model_1layers_20neurons.h5,25,0.0411560535430908,3,"{'x_1': 0.5, 'x_2': 0.6964285714285714, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,26,0.0424950122833251,3,"{'x_1': 0.1874999999999997, 'x_2': 0.8035714285714285, 'x_3': 0.7727272727272728}"
iris,model_1layers_20neurons.h5,27,0.0472207069396972,2,"{'x_2': 0.8214285714285715, 'x_3': 1.0}"
iris,model_1layers_20neurons.h5,28,0.0366249084472656,3,"{'x_1': 0.5, 'x_2': 0.0178571428571428, 'x_3': 0.0909090909090909}"
iris,model_1layers_20neurons.h5,29,0.0432655811309814,3,"{'x_1': 0.5625, 'x_2': 0.0535714285714285, 'x_3': 0.0454545454545454}"
iris,model_1layers_20neurons.h5,30,0.032546043395996,3,"{'x_1': 0.6666666666666667, 'x_2': 0.0, 'x_3': 0.0416666666666666}"
iris,model_1layers_20neurons.h5,31,0.0361971855163574,3,"{'x_1': 1.0, 'x_2': 0.087719298245614, 'x_3': 0.125}"
iris,model_1layers_20neurons.h5,32,0.0463652610778808,3,"{'x_1': 0.4583333333333332, 'x_2': 0.5964912280701755, 'x_3': 0.5416666666666667}"
iris,model_1layers_20neurons.h5,33,0.0368654727935791,3,"{'x_1': 0.5833333333333333, 'x_2': 0.1052631578947368, 'x_3': 0.0416666666666666}"
iris,model_1layers_20neurons.h5,34,0.0456376075744628,3,"{'x_1': 0.5, 'x_2': 0.0526315789473684, 'x_3': 0.0416666666666666}"
iris,model_1layers_20neurons.h5,35,0.0357568264007568,4,"{'x_0': 0.588235294117647, 'x_1': 0.2083333333333332, 'x_2': 0.7017543859649122, 'x_3': 0.75}"
iris,model_1layers_20neurons.h5,36,0.044419527053833,3,"{'x_1': 0.5, 'x_2': 0.6140350877192983, 'x_3': 0.5833333333333334}"
iris,model_1layers_20neurons.h5,37,0.0358035564422607,3,"{'x_1': 0.625, 'x_2': 0.087719298245614, 'x_3': 0.0416666666666666}"
