dataset,modelo,instance,relaxed_times,relaxed_len_eq,relaxed_len_range,relaxed_explanation
iris,model_1layers_20neurons.h5,0,"[0.0592348575592041, 0.041018009185791016, 0.039699554443359375, 0.03723716735839844, 0.03636026382446289, 0.03780984878540039, 0.03976583480834961, 0.04667997360229492, 0.04984140396118164, 0.09184122085571289]","[1, 2, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[{'eq': {'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.3375,x_0,0.5375), docplex.mp.RangeConstraint[input_range_1](0.2749999999999998,x_1,0.47499999999999976), docplex.mp.RangeConstraint[input_range_2](0.5071428571428571,x_2,0.7071428571428571)]}, {'eq': {'x_1': 0.3749999999999998, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2375,x_0,0.6375), docplex.mp.RangeConstraint[input_range_2](0.4071428571428571,x_2,0.8071428571428572)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.1375,x_0,0.7375)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.03749999999999998,x_0,0.8375)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.9375)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,1,"[0.03459644317626953, 0.035230398178100586, 0.037293195724487305, 0.031006574630737305, 0.03870558738708496, 0.03503727912902832, 0.042989492416381836, 0.043967247009277344, 0.04521799087524414, 0.04861640930175781]","[0, 0, 0, 1, 2, 2, 2, 2, 3, 3]","[4, 4, 4, 3, 2, 2, 2, 2, 1, 1]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2125,x_0,0.4125), docplex.mp.RangeConstraint[input_range_1](0.9,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.1714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.19090909090909092)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.11249999999999999,x_0,0.5125), docplex.mp.RangeConstraint[input_range_1](0.8,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.2714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.2909090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.012500000000000011,x_0,0.6125), docplex.mp.RangeConstraint[input_range_1](0.7,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.3714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.3909090909090909)]}, {'eq': {'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.7125), docplex.mp.RangeConstraint[input_range_1](0.6,x_1,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.4909090909090909)]}, {'eq': {'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.8125), docplex.mp.RangeConstraint[input_range_1](0.5,x_1,1)]}, {'eq': {'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.9125), docplex.mp.RangeConstraint[input_range_1](0.4,x_1,1)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.7909090909090909)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.890909090909091)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,2,"[0.03902840614318848, 0.03640890121459961, 0.03665947914123535, 0.04146695137023926, 0.04251384735107422, 0.05174708366394043, 0.04964470863342285, 0.06263208389282227, 0.04383540153503418, 0.0532376766204834]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2]","[4, 4, 4, 3, 3, 2, 2, 2, 2, 2]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.8375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0.15,x_1,0.35), docplex.mp.RangeConstraint[input_range_2](0.9,x_2,1), docplex.mp.RangeConstraint[input_range_3](0.9,x_3,1)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.7375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0.04999999999999999,x_1,0.45), docplex.mp.RangeConstraint[input_range_2](0.8,x_2,1), docplex.mp.RangeConstraint[input_range_3](0.8,x_3,1)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.6375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.55), docplex.mp.RangeConstraint[input_range_2](0.7,x_2,1), docplex.mp.RangeConstraint[input_range_3](0.7,x_3,1)]}, {'eq': {'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.5375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.65), docplex.mp.RangeConstraint[input_range_2](0.6,x_2,1)]}, {'eq': {'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.4375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.75), docplex.mp.RangeConstraint[input_range_2](0.5,x_2,1)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.3375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.85)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.23750000000000004,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.95)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.13749999999999996,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,1)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.03749999999999998,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,1)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,1)]}]"
iris,model_1layers_20neurons.h5,3,"[0.04104256629943848, 0.04078388214111328, 0.03338217735290527, 0.03850388526916504, 0.038800954818725586, 0.03657650947570801, 0.03777337074279785, 0.04117107391357422, 0.04296112060546875, 0.05395007133483887]","[2, 3, 3, 3, 4, 4, 4, 4, 4, 4]","[2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_1': 0.4374999999999998, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.30625,x_0,0.50625), docplex.mp.RangeConstraint[input_range_2](0.4714285714285714,x_2,0.6714285714285714)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.20625,x_0,0.60625)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.10625000000000001,x_0,0.70625)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.006249999999999978,x_0,0.80625)]}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}]"
iris,model_1layers_20neurons.h5,4,"[0.04436659812927246, 0.04124259948730469, 0.04080557823181152, 0.038912057876586914, 0.03695559501647949, 0.05056047439575195, 0.05023813247680664, 0.05270195007324219, 0.044586896896362305, 0.03624439239501953]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}]"
iris,model_1layers_20neurons.h5,5,"[0.03544282913208008, 0.039823055267333984, 0.034436941146850586, 0.04118919372558594, 0.03958916664123535, 0.0354609489440918, 0.04095101356506348, 0.0400853157043457, 0.0383303165435791, 0.04053378105163574]","[0, 0, 1, 2, 2, 2, 3, 3, 3, 3]","[4, 4, 3, 2, 2, 2, 1, 1, 1, 1]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.11875,x_0,0.31875), docplex.mp.RangeConstraint[input_range_1](0.65,x_1,0.85), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.13571428571428562), docplex.mp.RangeConstraint[input_range_3](0.03636363636363629,x_3,0.2363636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.01874999999999999,x_0,0.41875), docplex.mp.RangeConstraint[input_range_1](0.55,x_1,0.95), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.2357142857142856), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.3363636363636363)]}, {'eq': {'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.51875), docplex.mp.RangeConstraint[input_range_1](0.45,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.3357142857142856)]}, {'eq': {'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.61875), docplex.mp.RangeConstraint[input_range_1](0.35,x_1,1)]}, {'eq': {'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.71875), docplex.mp.RangeConstraint[input_range_1](0.25,x_1,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.81875), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.7363636363636363)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.91875)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,6,"[0.23028063774108887, 0.04653453826904297, 0.038641929626464844, 0.04322457313537598, 0.05353522300720215, 0.06109166145324707, 0.04642820358276367, 0.04479837417602539, 0.04731321334838867, 0.04674482345581055]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[{'eq': {'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.18125,x_0,0.38125), docplex.mp.RangeConstraint[input_range_1](0.3374999999999998,x_1,0.5374999999999998)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.08124999999999999,x_0,0.48125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.58125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.68125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.78125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.88125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.98125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,7,"[0.05139875411987305, 0.05952000617980957, 0.05073690414428711, 0.06836986541748047, 0.03713083267211914, 0.05384087562561035, 0.07394814491271973, 0.05400824546813965, 0.06609177589416504, 0.06521344184875488]","[0, 1, 2, 2, 3, 3, 3, 3, 3, 3]","[4, 3, 2, 2, 1, 1, 1, 1, 1, 1]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.5875,x_0,0.7875), docplex.mp.RangeConstraint[input_range_1](0.4625,x_1,0.6625), docplex.mp.RangeConstraint[input_range_2](0.5785714285714284,x_2,0.7785714285714284), docplex.mp.RangeConstraint[input_range_3](0.9,x_3,1)]}, {'eq': {'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.4875,x_0,0.8875), docplex.mp.RangeConstraint[input_range_1](0.3625,x_1,0.7625), docplex.mp.RangeConstraint[input_range_2](0.47857142857142837,x_2,0.8785714285714283)]}, {'eq': {'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.3875,x_0,0.9875), docplex.mp.RangeConstraint[input_range_1](0.2625,x_1,0.8625)]}, {'eq': {'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2875,x_0,1), docplex.mp.RangeConstraint[input_range_1](0.16249999999999998,x_1,0.9625)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.1875,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.08750000000000002,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,8,"[0.03884482383728027, 0.04539656639099121, 0.04174208641052246, 0.03823709487915039, 0.04159808158874512, 0.03958559036254883, 0.03872036933898926, 0.041338205337524414, 0.03852510452270508, 0.03801155090332031]","[0, 2, 3, 3, 4, 4, 4, 4, 4, 4]","[4, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.36875,x_0,0.56875), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.1), docplex.mp.RangeConstraint[input_range_2](0.4714285714285714,x_2,0.6714285714285714), docplex.mp.RangeConstraint[input_range_3](0.5363636363636365,x_3,0.7363636363636364)]}, {'eq': {'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.26875,x_0,0.66875), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.2)]}, {'eq': {'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.16875,x_0,0.76875)]}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_2](0.17142857142857137,x_2,0.9714285714285714)]}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}]"
iris,model_1layers_20neurons.h5,9,"[0.049302101135253906, 0.045198678970336914, 0.04166269302368164, 0.04293012619018555, 0.04591965675354004, 0.03915286064147949, 0.041458845138549805, 0.04320549964904785, 0.03863525390625, 0.04592299461364746]","[1, 2, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[{'eq': {'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.24375,x_0,0.44375), docplex.mp.RangeConstraint[input_range_1](0.2125,x_1,0.4125), docplex.mp.RangeConstraint[input_range_2](0.3642857142857142,x_2,0.5642857142857142)]}, {'eq': {'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.14375,x_0,0.54375), docplex.mp.RangeConstraint[input_range_1](0.11249999999999999,x_1,0.5125)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.04375000000000001,x_0,0.64375)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.74375)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.84375)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.94375)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
