dataset,modelo,instance,relaxed_times,relaxed_len_eq,relaxed_len_range,relaxed_explanation
iris,model_1layers_20neurons.h5,0,"[0.05529618263244629, 0.036804914474487305, 0.03731846809387207, 0.038106679916381836, 0.03761720657348633, 0.03778696060180664, 0.037584543228149414, 0.0381627082824707, 0.042206525802612305, 0.04659771919250488]","[1, 2, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[{'eq': {'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.3375,x_0,0.5375), docplex.mp.RangeConstraint[input_range_1](0.2749999999999998,x_1,0.47499999999999976), docplex.mp.RangeConstraint[input_range_2](0.5071428571428571,x_2,0.7071428571428571)]}, {'eq': {'x_1': 0.3749999999999998, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2375,x_0,0.6375), docplex.mp.RangeConstraint[input_range_2](0.4071428571428571,x_2,0.8071428571428572)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.1375,x_0,0.7375)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.03749999999999998,x_0,0.8375)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.9375)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,1,"[0.04395651817321777, 0.04059314727783203, 0.03007221221923828, 0.030142545700073242, 0.0377504825592041, 0.03902292251586914, 0.03499937057495117, 0.0373377799987793, 0.047093868255615234, 0.06235241889953613]","[0, 0, 0, 1, 2, 2, 2, 2, 3, 3]","[4, 4, 4, 3, 2, 2, 2, 2, 1, 1]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2125,x_0,0.4125), docplex.mp.RangeConstraint[input_range_1](0.9,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.1714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.19090909090909092)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.11249999999999999,x_0,0.5125), docplex.mp.RangeConstraint[input_range_1](0.8,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.2714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.2909090909090909)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.012500000000000011,x_0,0.6125), docplex.mp.RangeConstraint[input_range_1](0.7,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.3714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.3909090909090909)]}, {'eq': {'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.7125), docplex.mp.RangeConstraint[input_range_1](0.6,x_1,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.4909090909090909)]}, {'eq': {'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.8125), docplex.mp.RangeConstraint[input_range_1](0.5,x_1,1)]}, {'eq': {'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.9125), docplex.mp.RangeConstraint[input_range_1](0.4,x_1,1)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.7909090909090909)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.890909090909091)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,2,"[0.034568071365356445, 0.03469491004943848, 0.03900861740112305, 0.04053139686584473, 0.04114818572998047, 0.0541231632232666, 0.04821515083312988, 0.051459312438964844, 0.04452800750732422, 0.14864635467529297]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2]","[4, 4, 4, 3, 3, 2, 2, 2, 2, 2]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.8375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0.15,x_1,0.35), docplex.mp.RangeConstraint[input_range_2](0.9,x_2,1), docplex.mp.RangeConstraint[input_range_3](0.9,x_3,1)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.7375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0.04999999999999999,x_1,0.45), docplex.mp.RangeConstraint[input_range_2](0.8,x_2,1), docplex.mp.RangeConstraint[input_range_3](0.8,x_3,1)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.6375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.55), docplex.mp.RangeConstraint[input_range_2](0.7,x_2,1), docplex.mp.RangeConstraint[input_range_3](0.7,x_3,1)]}, {'eq': {'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.5375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.65), docplex.mp.RangeConstraint[input_range_2](0.6,x_2,1)]}, {'eq': {'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.4375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.75), docplex.mp.RangeConstraint[input_range_2](0.5,x_2,1)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.3375,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.85)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.23750000000000004,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.95)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.13749999999999996,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,1)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.03749999999999998,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,1)]}, {'eq': {'x_2': 1.0, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1), docplex.mp.RangeConstraint[input_range_1](0,x_1,1)]}]"
iris,model_1layers_20neurons.h5,3,"[0.03812718391418457, 0.04275178909301758, 0.039847373962402344, 0.039452552795410156, 0.03874397277832031, 0.037026166915893555, 0.03876757621765137, 0.03703188896179199, 0.0381014347076416, 0.03631329536437988]","[2, 3, 3, 3, 4, 4, 4, 4, 4, 4]","[2, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_1': 0.4374999999999998, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.30625,x_0,0.50625), docplex.mp.RangeConstraint[input_range_2](0.4714285714285714,x_2,0.6714285714285714)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.20625,x_0,0.60625)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.10625000000000001,x_0,0.70625)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.006249999999999978,x_0,0.80625)]}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}]"
iris,model_1layers_20neurons.h5,4,"[0.03818488121032715, 0.04397773742675781, 0.04276227951049805, 0.03705954551696777, 0.03963327407836914, 0.03781485557556152, 0.03566765785217285, 0.0397188663482666, 0.04163360595703125, 0.03853178024291992]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}]"
iris,model_1layers_20neurons.h5,5,"[0.045256614685058594, 0.0382843017578125, 0.03720283508300781, 0.037671804428100586, 0.03826451301574707, 0.03501415252685547, 0.03715181350708008, 0.034886837005615234, 0.03736066818237305, 0.03727293014526367]","[0, 0, 1, 2, 2, 2, 3, 3, 3, 3]","[4, 4, 3, 2, 2, 2, 1, 1, 1, 1]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.11875,x_0,0.31875), docplex.mp.RangeConstraint[input_range_1](0.65,x_1,0.85), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.13571428571428562), docplex.mp.RangeConstraint[input_range_3](0.03636363636363629,x_3,0.2363636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.01874999999999999,x_0,0.41875), docplex.mp.RangeConstraint[input_range_1](0.55,x_1,0.95), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.2357142857142856), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.3363636363636363)]}, {'eq': {'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.51875), docplex.mp.RangeConstraint[input_range_1](0.45,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.3357142857142856)]}, {'eq': {'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.61875), docplex.mp.RangeConstraint[input_range_1](0.35,x_1,1)]}, {'eq': {'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.71875), docplex.mp.RangeConstraint[input_range_1](0.25,x_1,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.81875), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.7363636363636363)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.91875)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,6,"[0.20061755180358887, 0.04070687294006348, 0.03791952133178711, 0.03912806510925293, 0.047482967376708984, 0.04923701286315918, 0.04264664649963379, 0.0456695556640625, 0.04210710525512695, 0.04461503028869629]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[{'eq': {'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.18125,x_0,0.38125), docplex.mp.RangeConstraint[input_range_1](0.3374999999999998,x_1,0.5374999999999998)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.08124999999999999,x_0,0.48125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.58125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.68125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.78125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.88125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.98125)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,7,"[0.04058241844177246, 0.04828357696533203, 0.04456138610839844, 0.058518409729003906, 0.038658857345581055, 0.04703927040100098, 0.05150127410888672, 0.048897743225097656, 0.05027151107788086, 0.04917597770690918]","[0, 1, 2, 2, 3, 3, 3, 3, 3, 3]","[4, 3, 2, 2, 1, 1, 1, 1, 1, 1]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.5875,x_0,0.7875), docplex.mp.RangeConstraint[input_range_1](0.4625,x_1,0.6625), docplex.mp.RangeConstraint[input_range_2](0.5785714285714284,x_2,0.7785714285714284), docplex.mp.RangeConstraint[input_range_3](0.9,x_3,1)]}, {'eq': {'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.4875,x_0,0.8875), docplex.mp.RangeConstraint[input_range_1](0.3625,x_1,0.7625), docplex.mp.RangeConstraint[input_range_2](0.47857142857142837,x_2,0.8785714285714283)]}, {'eq': {'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.3875,x_0,0.9875), docplex.mp.RangeConstraint[input_range_1](0.2625,x_1,0.8625)]}, {'eq': {'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2875,x_0,1), docplex.mp.RangeConstraint[input_range_1](0.16249999999999998,x_1,0.9625)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.1875,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.08750000000000002,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,8,"[0.041347503662109375, 0.043170928955078125, 0.037718772888183594, 0.03815817832946777, 0.03752851486206055, 0.03740739822387695, 0.0373988151550293, 0.03680419921875, 0.04065227508544922, 0.038079023361206055]","[0, 2, 3, 3, 4, 4, 4, 4, 4, 4]","[4, 2, 1, 1, 0, 0, 0, 0, 0, 0]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.36875,x_0,0.56875), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.1), docplex.mp.RangeConstraint[input_range_2](0.4714285714285714,x_2,0.6714285714285714), docplex.mp.RangeConstraint[input_range_3](0.5363636363636365,x_3,0.7363636363636364)]}, {'eq': {'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.26875,x_0,0.66875), docplex.mp.RangeConstraint[input_range_1](0,x_1,0.2)]}, {'eq': {'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.16875,x_0,0.76875)]}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_3': 0.6363636363636365}, 'range': [docplex.mp.RangeConstraint[input_range_2](0.17142857142857137,x_2,0.9714285714285714)]}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}]"
iris,model_1layers_20neurons.h5,9,"[0.04596209526062012, 0.052782535552978516, 0.046658992767333984, 0.0368497371673584, 0.0387575626373291, 0.03703784942626953, 0.0388944149017334, 0.03796505928039551, 0.039385080337524414, 0.03943443298339844]","[1, 2, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[{'eq': {'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.24375,x_0,0.44375), docplex.mp.RangeConstraint[input_range_1](0.2125,x_1,0.4125), docplex.mp.RangeConstraint[input_range_2](0.3642857142857142,x_2,0.5642857142857142)]}, {'eq': {'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.14375,x_0,0.54375), docplex.mp.RangeConstraint[input_range_1](0.11249999999999999,x_1,0.5125)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.04375000000000001,x_0,0.64375)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.74375)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.84375)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.94375)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
