dataset,modelo,instance,relaxed_times,relaxed_len_eq,relaxed_len_range,relaxed_explanation
iris,model_1layers_20neurons.h5,0,"[0.05761837959289551, 0.03821539878845215, 0.03981208801269531, 0.0635066032409668, 0.06061506271362305, 0.04161500930786133, 0.04114079475402832, 0.041188955307006836, 0.043633222579956055, 0.041678667068481445]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.4375, 'x_1': 0.3749999999999998, 'x_2': 0.6071428571428571, 'x_3': 0.5000000000000001}, 'range': []}]"
iris,model_1layers_20neurons.h5,1,"[0.0302734375, 0.028959035873413086, 0.03383493423461914, 0.03487825393676758, 0.048069000244140625, 0.03995108604431152, 0.0447545051574707, 0.07213449478149414, 0.045676231384277344, 0.03827929496765137]","[0, 0, 1, 1, 2, 2, 2, 3, 3, 3]","[4, 4, 3, 3, 2, 2, 2, 1, 1, 1]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.2125,x_0,0.4125), docplex.mp.RangeConstraint[input_range_1](0.9,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.1714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.19090909090909092)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.11249999999999999,x_0,0.5125), docplex.mp.RangeConstraint[input_range_1](0.8,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.2714285714285714), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.2909090909090909)]}, {'eq': {'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.012500000000000011,x_0,0.6125), docplex.mp.RangeConstraint[input_range_1](0.7,x_1,1), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.3714285714285714)]}, {'eq': {'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.7125), docplex.mp.RangeConstraint[input_range_1](0.6,x_1,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.4909090909090909)]}, {'eq': {'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.8125), docplex.mp.RangeConstraint[input_range_1](0.5,x_1,1)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.9125), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.6909090909090909)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.7909090909090909)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 1.0, 'x_2': 0.0714285714285714, 'x_3': 0.0909090909090909}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,2,"[0.038210391998291016, 0.03719758987426758, 0.036910295486450195, 0.0384063720703125, 0.05009269714355469, 0.04993891716003418, 0.04118967056274414, 0.04238390922546387, 0.04153943061828613, 0.039777278900146484]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.9375, 'x_1': 0.25, 'x_2': 1.0, 'x_3': 1.0}, 'range': []}]"
iris,model_1layers_20neurons.h5,3,"[0.03998422622680664, 0.03872966766357422, 0.04352402687072754, 0.041255950927734375, 0.042075395584106445, 0.04184556007385254, 0.04090380668640137, 0.04240012168884277, 0.08201885223388672, 0.07358479499816895]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.40625, 'x_1': 0.4374999999999998, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}]"
iris,model_1layers_20neurons.h5,4,"[0.0374913215637207, 0.0387723445892334, 0.04107356071472168, 0.04560208320617676, 0.06149721145629883, 0.07178616523742676, 0.06459641456604004, 0.05247759819030762, 0.0465083122253418, 0.04059791564941406]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}, {'eq': {'x_0': 0.65625, 'x_1': 0.3749999999999998, 'x_2': 0.6249999999999999, 'x_3': 0.5909090909090909}, 'range': []}]"
iris,model_1layers_20neurons.h5,5,"[0.028539657592773438, 0.02926778793334961, 0.03315091133117676, 0.03589129447937012, 0.03441500663757324, 0.04490852355957031, 0.04197287559509277, 0.0397491455078125, 0.03826546669006348, 0.04314756393432617]","[0, 0, 1, 2, 2, 3, 3, 3, 3, 3]","[4, 4, 3, 2, 2, 1, 1, 1, 1, 1]","[{'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.11875,x_0,0.31875), docplex.mp.RangeConstraint[input_range_1](0.65,x_1,0.85), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.13571428571428562), docplex.mp.RangeConstraint[input_range_3](0.03636363636363629,x_3,0.2363636363636363)]}, {'eq': {}, 'range': [docplex.mp.RangeConstraint[input_range_0](0.01874999999999999,x_0,0.41875), docplex.mp.RangeConstraint[input_range_1](0.55,x_1,0.95), docplex.mp.RangeConstraint[input_range_2](0,x_2,0.2357142857142856), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.3363636363636363)]}, {'eq': {'x_2': 0.0357142857142856}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.51875), docplex.mp.RangeConstraint[input_range_1](0.45,x_1,1), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.4363636363636363)]}, {'eq': {'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.61875), docplex.mp.RangeConstraint[input_range_1](0.35,x_1,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.71875), docplex.mp.RangeConstraint[input_range_3](0,x_3,0.6363636363636362)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.81875)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,0.91875)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}, {'eq': {'x_1': 0.75, 'x_2': 0.0357142857142856, 'x_3': 0.1363636363636363}, 'range': [docplex.mp.RangeConstraint[input_range_0](0,x_0,1)]}]"
iris,model_1layers_20neurons.h5,6,"[0.047803401947021484, 0.052916765213012695, 0.054548025131225586, 0.046267032623291016, 0.038637638092041016, 0.04031825065612793, 0.041930437088012695, 0.043714046478271484, 0.04485273361206055, 0.044877052307128906]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}, {'eq': {'x_0': 0.28125, 'x_1': 0.4374999999999998, 'x_2': 0.4107142857142857, 'x_3': 0.5454545454545455}, 'range': []}]"
iris,model_1layers_20neurons.h5,7,"[0.040846824645996094, 0.041847944259643555, 0.1045844554901123, 0.0489802360534668, 0.04705357551574707, 0.033101797103881836, 0.0349118709564209, 0.04176139831542969, 0.04652237892150879, 0.04469037055969238]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}, {'eq': {'x_0': 0.6875, 'x_1': 0.5625, 'x_2': 0.6785714285714284, 'x_3': 1.0}, 'range': []}]"
iris,model_1layers_20neurons.h5,8,"[0.05954694747924805, 0.22236275672912598, 0.06045842170715332, 0.04376506805419922, 0.03365612030029297, 0.03478097915649414, 0.037760019302368164, 0.03631877899169922, 0.0348963737487793, 0.03643178939819336]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}, {'eq': {'x_0': 0.46875, 'x_1': 0.0, 'x_2': 0.5714285714285714, 'x_3': 0.6363636363636365}, 'range': []}]"
iris,model_1layers_20neurons.h5,9,"[0.04490542411804199, 0.043749332427978516, 0.04344320297241211, 0.04230952262878418, 0.042238473892211914, 0.04497265815734863, 0.050634145736694336, 0.05137443542480469, 0.047118425369262695, 0.046797752380371094]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[{'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}, {'eq': {'x_0': 0.34375, 'x_1': 0.3125, 'x_2': 0.4642857142857142, 'x_3': 0.5000000000000001}, 'range': []}]"
